"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  33  avg =  21"
"response","count","percent_responded"
"0","9","27.27"
"51","3","9.09"
"21","2","6.06"
"3","2","6.06"
"1","1","3.03"
"10","1","3.03"
"13","1","3.03"
"18","1","3.03"
"20","1","3.03"
"22","1","3.03"
"29","1","3.03"
"4","1","3.03"
"45","1","3.03"
"47","1","3.03"
"49","1","3.03"
"50","1","3.03"
"52","1","3.03"
"57","1","3.03"
"6","1","3.03"
"60","1","3.03"
"9","1","3.03"
