"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  174"
"response","count","percent_responded"
"Smoke flower","133","76.44"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","94","54.02"
"Vape cartridges","77","44.25"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","62","35.63"
"Tinctures","62","35.63"
"Vape flower","44","25.29"
"Salves/topicals","42","24.14"
"Capsules","24","13.79"
"Transdermal patches","11","6.32"
"Other (please specify)","9","5.17"
"Suppositories","9","5.17"
