"q21","How many total prescription medications are you currently taking? (Please insert number)","n =  185  avg =  6.55"
"response","count","percent_responded"
"5","24","12.97"
"3","22","11.89"
"4","21","11.35"
"6","17","9.19"
"2","15","8.11"
"7","15","8.11"
"1","13","7.03"
"10","9","4.86"
"8","9","4.86"
"9","7","3.78"
"12","6","3.24"
"11","5","2.7"
"15","5","2.7"
"13","3","1.62"
"14","3","1.62"
"0","2","1.08"
"17","2","1.08"
"20","2","1.08"
"21","2","1.08"
"18","1","0.54"
"19","1","0.54"
"30","1","0.54"
