"q21","What products/strains do you want that are not currentlyt available in your local dispensaries?","n =  419"
"response","count","percent_responded"
"None","22","5.25"
"N/A","9","2.15"
"none","9","2.15"
"n/a","6","1.43"
"Na","6","1.43"
"Not sure","6","1.43"
"N/a","5","1.19"
"unknown","4","0.95"
"Blue dream","3","0.72"
"None ","3","0.72"
"Unsure","3","0.72"
"ACDC","2","0.48"
"All","2","0.48"
"Charlottes web","2","0.48"
"Cheese","2","0.48"
"Don't know","2","0.48"
"Edibles","2","0.48"
"Green Crack","2","0.48"
"i don't know yet","2","0.48"
"Maui Wowie","2","0.48"
"Pineapple Express","2","0.48"
"sativa","2","0.48"
"Seeds","2","0.48"
"Sour Diesel","2","0.48"
"Underdawg","2","0.48"
"1 to 1 through 2 to 1 THC to CBD strains","1","0.24"
"2:1 in a 500 mg. and 1000 mg. cartridges","1","0.24"
"3 chems","1","0.24"
"3D-CBC","1","0.24"
"4way","1","0.24"
"9 pound Hammer","1","0.24"
"A balm that works for bursitis.","1","0.24"
"A higher ratio cbd/thc tincture. ","1","0.24"
"A peer is in process of getting licensed; I am one individual who is assisting the peer with “perfecting” the product for pain relief. I do not know strains ","1","0.24"
"AC/DC, Harliquin ","1","0.24"
"acapulco gold","1","0.24"
"ACDC, Harlequin, Cannatonic, 9Ib Hammer, Blackberry Kush, Purple Arrow, Blue Widow, Cataract Kush,  Mazar I Sharif ","1","0.24"
"Acidic cannabinoids","1","0.24"
"Affordable Concentrate","1","0.24"
"Affordable edibles! ","1","0.24"
"affordable THCA extracts,  terpenes highlighted on label","1","0.24"
"afghan kush","1","0.24"
"Afghani","1","0.24"
"Akasha CBD:THC 3:1, Indica 300 mg tincture, FireBird  1:1 pills","1","0.24"
"Alaskan Thunder Fuck, Frosted Freak  ","1","0.24"
"all good","1","0.24"
"All good","1","0.24"
"all the aBOVE","1","0.24"
"All, I have no dispensary.","1","0.24"
"Ambulance","1","0.24"
"Amnesia Haze, Hawaiian Snow","1","0.24"
"Amnesia Haze,larger and different variety of edibles","1","0.24"
"Any hazes, pure sativas","1","0.24"
"Anything ","1","0.24"
"anything with high THC :-)","1","0.24"
"Avidekel","1","0.24"
"Banana bread ","1","0.24"
"Better concentrate selection","1","0.24"
"Better edibles","1","0.24"
"Better quality flower","1","0.24"
"Better tasting edibles","1","0.24"
"Bho","1","0.24"
"BHO","1","0.24"
"Big bud skunk","1","0.24"
"Black triangle kush","1","0.24"
"blond hash not bubble hash","1","0.24"
"Blue azure","1","0.24"
"Blue Cheese ","1","0.24"
"Blue Dream","1","0.24"
"Blue Dream, Gorilla strains, prefer high THC strains","1","0.24"
"Blue Dreams","1","0.24"
"Blueberry and Hash (not bubble hash)","1","0.24"
"Bruce Banner","1","0.24"
"Bubble Hash","1","0.24"
"Bulk vape oil, maybe in a loaded syringe. I would prefer to fill my own more quality cartridges that don't malfunction.  ","1","0.24"
"California dream","1","0.24"
"Can't think of any ","1","0.24"
"can't think of anything","1","0.24"
