"q46","What information would you like to know related to cannabis to help you make a decision about what cannabis products to use? Please select all that apply.","n =  1292"
"response","count","percent_responded"
"Different effects of different cannabinoids","942","72.91"
"Medical value of cannabis","759","58.75"
"Cultivation and extraction","630","48.76"
"Cannabis genetics","513","39.71"
"Cannabis and pharmaceutical drug interactions","501","38.78"
"Side effects of cannabis","384","29.72"
"Other (please specify)","92","7.12"
"Other (please list below)","71","5.5"
