"q54","What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?","n =  391  avg =  66.535"
"response","count","percent_responded"
"100","187","47.83"
"0","61","15.6"
"50","16","4.09"
"75","13","3.32"
"1","9","2.3"
"98","7","1.79"
"99","7","1.79"
"10","6","1.53"
"30","6","1.53"
"80","5","1.28"
"15","4","1.02"
"25","4","1.02"
"90","4","1.02"
"96","4","1.02"
"97","4","1.02"
"14","3","0.77"
"5","3","0.77"
"52","3","0.77"
"12","2","0.51"
"13","2","0.51"
"17","2","0.51"
"2","2","0.51"
"4","2","0.51"
"51","2","0.51"
"65","2","0.51"
"82","2","0.51"
"85","2","0.51"
"89","2","0.51"
"9","2","0.51"
"95","2","0.51"
"18","1","0.26"
"19","1","0.26"
"26","1","0.26"
"3","1","0.26"
"32","1","0.26"
"36","1","0.26"
"37","1","0.26"
"42","1","0.26"
"43","1","0.26"
"49","1","0.26"
"56","1","0.26"
"6","1","0.26"
"61","1","0.26"
"7","1","0.26"
"70","1","0.26"
"8","1","0.26"
"81","1","0.26"
"87","1","0.26"
"91","1","0.26"
"93","1","0.26"
"94","1","0.26"
