Q#46,Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:,
,,
response,count,percent_all
100,13,2.30%
99,2,0.35%
98,1,0.18%
97,1,0.18%
91,1,0.18%
87,1,0.18%
85,1,0.18%
83,2,0.35%
82,1,0.18%
81,1,0.18%
80,1,0.18%
78,1,0.18%
77,1,0.18%
76,3,0.53%
73,1,0.18%
71,1,0.18%
70,2,0.35%
69,1,0.18%
66,1,0.18%
65,1,0.18%
64,3,0.53%
63,1,0.18%
61,1,0.18%
60,1,0.18%
57,2,0.35%
55,1,0.18%
54,1,0.18%
53,2,0.35%
52,4,0.71%
51,11,1.95%
50,24,4.25%
49,7,1.24%
48,5,0.88%
47,3,0.53%
46,1,0.18%
45,1,0.18%
44,2,0.35%
43,3,0.53%
42,2,0.35%
41,2,0.35%
40,1,0.18%
39,6,1.06%
38,6,1.06%
36,2,0.35%
35,5,0.88%
34,2,0.35%
33,5,0.88%
32,3,0.53%
31,1,0.18%
30,6,1.06%
29,7,1.24%
28,3,0.53%
27,7,1.24%
26,9,1.59%
25,5,0.88%
24,8,1.42%
23,6,1.06%
22,6,1.06%
21,10,1.77%
20,6,1.06%
19,10,1.77%
18,4,0.71%
17,7,1.24%
16,13,2.30%
15,3,0.53%
14,6,1.06%
13,11,1.95%
12,2,0.35%
11,10,1.77%
10,7,1.24%
9,7,1.24%
8,8,1.42%
7,8,1.42%
6,12,2.12%
5,4,0.71%
4,9,1.59%
3,11,1.95%
2,15,2.65%
1,19,3.36%
0,181,32.04%
