"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  299"
"response","count","percent_responded"
"Chronic pain","217","72.58"
"Anxiety","170","56.86"
"Depression","167","55.85"
"Arthritis","152","50.84"
"Posttraumatic stress disorder (PTSD)","140","46.82"
"Insomnia","112","37.46"
"Hypertension","97","32.44"
"Gastrointestinal/digestive system disorders","83","27.76"
"Allergies","72","24.08"
"Diabetes","67","22.41"
"Obesity","64","21.4"
"Other (please specify)","64","21.4"
"Reflux esophagitis","63","21.07"
"Respiratory problems","60","20.07"
"Cancer","46","15.38"
"Cardiovascular disease","45","15.05"
"Attention deficit/hyperactivity disorder (ADHD)","31","10.37"
"Fibromyalgia/myositis","29","9.7"
"Substance abuse/addiction","29","9.7"
"Eczema","27","9.03"
"Inflammatory bowel disease (IBD)","23","7.69"
"Bipolar/manic depression","13","4.35"
"Multiple sclerosis","6","2.01"
"Epilepsy","3","1"
"HIV/AIDS","3","1"
"Autism","1","0.33"
