"q39","What is the primary health condition for which you find cannabis to be helpful? (Please select one)","n =  126"
"response","count","percent_responded"
"Chronic pain","51","40.48"
"Posttraumatic stress disorder (PTSD)","29","23.02"
"Anxiety","17","13.49"
"Insomnia","8","6.35"
"Depression","7","5.56"
"Arthritis","4","3.17"
"Bipolar/manic depression","3","2.38"
"Substance abuse/addiction","3","2.38"
"Attention deficit/hyperactivity disorder (ADHD)","2","1.59"
"Cancer","1","0.79"
"Multiple sclerosis","1","0.79"
