"q91","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)","n =  320"
"response","count","percent_responded"
"Some college, no degree","102","31.87"
"Bachelor's degree","65","20.31"
"Associate's degree","53","16.56"
"High school degree or equivalent (GED)","45","14.06"
"Master's degree","29","9.06"
"Vocational degree","18","5.62"
"Professional degree (MD, JD, DDS, DVM)","4","1.25"
"Doctorate (Ph.D, Ed.D, etc)","3","0.94"
"Less than high school diploma","1","0.31"
