"q91","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)","n =  265"
"response","count","percent_responded"
"Some college, no degree","96","36.23"
"Bachelor's degree","47","17.74"
"High school degree or equivalent (GED)","45","16.98"
"Associate's degree","35","13.21"
"Master's degree","23","8.68"
"Vocational degree","15","5.66"
"Less than high school diploma","2","0.75"
"Doctorate (Ph.D, Ed.D, etc)","1","0.38"
"Professional degree (MD, JD, DDS, DVM)","1","0.38"
