"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  33"
"response","count","percent_responded"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","10","30.3"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","10","30.3"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","8","24.24"
"I'm not trying to reduce any medication use","7","21.21"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","6","18.18"
"I don’t take any medications","5","15.15"
"I have reduced my prescription medication use in the past","5","15.15"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","5","15.15"
"Anti-inflammatories","3","9.09"
"Muscle relaxants","3","9.09"
"Proton pump inhibitors","3","9.09"
"Statins (e.g. Lipitor, Crestor)","3","9.09"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","3","9.09"
"Steroids, including steroid creams","2","6.06"
"Antihypertensives","1","3.03"
"Antipsychotics (e.g. Abilify, Seroquel)","1","3.03"
"Beta Blockers","1","3.03"
"Hormone replacement therapy (HRT)","1","3.03"
"Other (please specify)","1","3.03"
