"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  266"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","75","28.2"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","73","27.44"
"I don’t take any medications","66","24.81"
"I have reduced my prescription medication use in the past","66","24.81"
"Anti-inflammatories","46","17.29"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","41","15.41"
"Muscle relaxants","41","15.41"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","39","14.66"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","31","11.65"
"I'm not trying to reduce any medication use","28","10.53"
"Other (please specify)","20","7.52"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","16","6.02"
"Sedatives/hypnotics","11","4.14"
"Antimigraine","9","3.38"
"Antipsychotics (e.g. Abilify, Seroquel)","9","3.38"
"Beta Blockers","8","3.01"
"Steroids, including steroid creams","8","3.01"
"Antihypertensives","4","1.5"
"Barbiturates (e.g. Floricet)","4","1.5"
"Proton pump inhibitors","3","1.13"
"Statins (e.g. Lipitor, Crestor)","3","1.13"
"Antiemetics","2","0.75"
"Hormone replacement therapy (HRT)","1","0.38"
