"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  232"
"response","count","percent_responded"
"Sleep/insomnia","157","67.67"
"Pain","149","64.22"
"Depression/mood","147","63.36"
"Anxiety/panic attacks","134","57.76"
"Attention/concentration","83","35.78"
"Aggression","73","31.47"
"Appetite/weight","73","31.47"
"Inflammation","73","31.47"
"Headache","66","28.45"
"Spasms","42","18.1"
"Nausea/vomiting","29","12.5"
"Skin conditions","25","10.78"
"Respiratory","14","6.03"
"Other (please specify)","12","5.17"
"Ocular pressure","10","4.31"
"Drug withdrawal","7","3.02"
"Mania/psychosis","6","2.59"
"Seizures","1","0.43"
