"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  126"
"response","count","percent_responded"
"I don’t take any medications","35","27.78"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","34","26.98"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","25","19.84"
"I have reduced my prescription medication use in the past","22","17.46"
"I'm not trying to reduce any medication use","18","14.29"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","17","13.49"
"Muscle relaxants","15","11.9"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","15","11.9"
"Anti-inflammatories","14","11.11"
"Other (please specify)","11","8.73"
"Beta Blockers","5","3.97"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","5","3.97"
"Statins (e.g. Lipitor, Crestor)","5","3.97"
"Steroids, including steroid creams","5","3.97"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","5","3.97"
"Sedatives/hypnotics","2","1.59"
"Antihypertensives","1","0.79"
"Antimigraine","1","0.79"
"Insulin","1","0.79"
"Proton pump inhibitors","1","0.79"
