"q41","What features are missing from your sources of information that you would like to see included?","n =  1249"
"response","count","percent_responded"
"None","131","10.49"
"none","74","5.92"
"N/A","43","3.44"
"Nothing","29","2.32"
"n/a","28","2.24"
"N/a","28","2.24"
"Not sure","26","2.08"
"None ","17","1.36"
"nothing","15","1.2"
"na","14","1.12"
"not sure","14","1.12"
"Na","13","1.04"
"Nothing ","11","0.88"
"Not sure ","7","0.56"
"unsure","6","0.48"
"idk","5","0.4"
"Don’t know","4","0.32"
"I don't know","4","0.32"
"Price","4","0.32"
"prices","4","0.32"
"Deals","3","0.24"
"Idk","3","0.24"
"More strains","3","0.24"
"None I can think of","3","0.24"
"None.","3","0.24"
"Unsure","3","0.24"
"Can’t think of any","2","0.16"
"cost","2","0.16"
"dosing","2","0.16"
"Free samples","2","0.16"
"I'd like a helpful newsletter from BASK.","2","0.16"
"i don't know","2","0.16"
"Medical benefits ","2","0.16"
"Menus","2","0.16"
"more individual strain info","2","0.16"
"More pictures","2","0.16"
"Na ","2","0.16"
"Nada","2","0.16"
"Nih","2","0.16"
"Pictures","2","0.16"
"Prices","2","0.16"
"Recipes","2","0.16"
"Regular updates sometime","2","0.16"
"terpene profiles","2","0.16"
"Terpene profiles","2","0.16"
"Unknown","2","0.16"
"360 product pics","1","0.08"
"A better product/company description ","1","0.08"
"A better way to i.d. strains than common names used.","1","0.08"
"a list of symptoms or diseases strains are helpful for","1","0.08"
"a lot of people are unaware of the extra $50 app fee(can be waved with Mass Health). They also don't realize that medical marijuana isn't taxed.","1","0.08"
"A medical card","1","0.08"
"A more accurate understanding of the trace cannabinoids in the products available.","1","0.08"
"A site that offers evaluations of products for accuracy, testing, quality etc.  ","1","0.08"
"a site that provides accurate up to the minute state status on all the states and what is legal and what is not. States change things all the time, and looking for real time.  Ohio just changed their Hemp CBD law - I was clueless, and I am a Practitioner!","1","0.08"
"a step by step learning process for beginners that want relief without a high","1","0.08"
"a wishlist/shopping list, and a way to save your favorite items","1","0.08"
"aaa","1","0.08"
"Ability to get products from other states","1","0.08"
"Absolute levels and ratios of cbd, thc, cbdn, thca, cbda, terpenes etc","1","0.08"
"Accept other payment forms ","1","0.08"
"Accuracy","1","0.08"
"accuracy of info","1","0.08"
"accuracy with strain information","1","0.08"
"Accurate estimates of  cannaboid content","1","0.08"
"Accurate genetics","1","0.08"
"Accurate in stock items","1","0.08"
"accurate inventory at dispensaries","1","0.08"
"Accurate menus ","1","0.08"
"Accurate percentage ","1","0.08"
"Accurate percentages","1","0.08"
"Accurate percentages of more cannabinoids ","1","0.08"
"Accurate product testing, plant genetics/lineage/strain history","1","0.08"
"Accurate regional availability","1","0.08"
"Accurate specials","1","0.08"
"Actual information on flowers. Each of us has to experiment. ","1","0.08"
"Actual rigorous medical research on benefits and harm of marijuana ","1","0.08"
"Actually science based information","1","0.08"
"adverse effect information","1","0.08"
"all discounts in one place","1","0.08"
"All dispensary tests results should include terpene profile. Period!","1","0.08"
"All good","1","0.08"
"Although most sites have a recommended dose for an ailment I would like to see more sites tell people to start with a low dose, 1mg. and slowly go up as symptoms inprove.","1","0.08"
"Always indica sariva percentage","1","0.08"
"Any of dr Sulak’s resources are amazing ","1","0.08"
"Anything new","1","0.08"
"apps have all types of info,features are good","1","0.08"
"As","1","0.08"
"assistance in obtaining mmj card","1","0.08"
"avaiability","1","0.08"
"Availability","1","0.08"
"Availability of products","1","0.08"
"Average cost between the dispensaries across the state, and tips on the best way/place to grow for myself ","1","0.08"
"Average price","1","0.08"
"Average Price","1","0.08"
"Average price ","1","0.08"
"avg cost","1","0.08"
"Be able to look up my medical condition and have recommendations for strains are reported to work best, not the hit and miss thing I've been doing for a year","1","0.08"
"beginner info","1","0.08"
"Best sources","1","0.08"
"bette local information ","1","0.08"
"better breakdown of endocannabinoids in each strain","1","0.08"
"Better care for disabled and veterans who are low income","1","0.08"
"Better information about states other than CA, OR, WA, AZ, CO","1","0.08"
"Better information on strains when purchasing seeds online ","1","0.08"
"Better inventory of what local dispensary has","1","0.08"
"Better menus ","1","0.08"
"Better quality","1","0.08"
"Better reporting of cannabinoids and terpenes levels. Date of harvest and where grown","1","0.08"
"better strain genetics, average testing % and deeper info","1","0.08"
"better strain info","1","0.08"
"Better user based feedback.","1","0.08"
"books","1","0.08"
"Breakdown Comparison of one strain to another ","1","0.08"
"Bud history","1","0.08"
"Caffeine on edibles ","1","0.08"
"can't think of any","1","0.08"
"Can't think of any","1","0.08"
"Can't think of anything","1","0.08"
"Can’t think of any ","1","0.08"
"Cancer specialist ","1","0.08"
"Cannabinoid ranges and regional availability/hardiness statistics ","1","0.08"
"Cannabinoids, Terpenes","1","0.08"
"Cannabis as food/nutrition (not ""drug"", not ""medicine"")","1","0.08"
"Cannabis lessons. Teach the public how to roll joints, dab, grow, maintain glass/pieces","1","0.08"
"Cannabis science: terpenes and cannabinoids for medicine","1","0.08"
"case studies, dosages for ailments and patient profiles","1","0.08"
"Cases of fraud and pesticides ","1","0.08"
"cbd","1","0.08"
"CBD related","1","0.08"
"CBD vs THC effects","1","0.08"
"CBG info","1","0.08"
"Charts showing mg to dose equivalents","1","0.08"
"Cheaper, faster, more reliable testing.","1","0.08"
"Clear thc, cbd cannanoids,terpenes, heritage charts","1","0.08"
"clinical studies and more research","1","0.08"
"Clone availability","1","0.08"
"coming soon and upcoming specials","1","0.08"
"Coming soon products ","1","0.08"
"Comparison of legal cbd to medical cbd","1","0.08"
"Complete breakdown of terpines in each strain. Specification of whether available strains are sun grown, organic, veganic or biodynamic. Also, whether pesticides are used in ANY ASPECT of the growing process of a particular strain. I am less interested in how lab tests come out. I'd rather have it not use pesticides at any phase in its growing process.","1","0.08"
"Complete write up of strains","1","0.08"
"compound recipes for sx","1","0.08"
"Comprehensiveness -- doesn't show everything they have","1","0.08"
"Conclusive clinical trial results","1","0.08"
"Confidence in anything said.","1","0.08"
"Confidence in truthfulness","1","0.08"
"Consistency in package labeling.","1","0.08"
"Consistency with scientific studies and analyses ","1","0.08"
"Content related directly to my market and region ","1","0.08"
"Cooking with cannabis","1","0.08"
"Cost","1","0.08"
"Costs","1","0.08"
"Costs and availability","1","0.08"
"Coupon","1","0.08"
"Coupons ","1","0.08"
"Crohn's specific info","1","0.08"
"crossed strains","1","0.08"
"Cultivation methods, growing media, and fertilizers/pesticides used","1","0.08"
"Current and Updated Information","1","0.08"
"current information","1","0.08"
"Current Information","1","0.08"
"Current menus and prices, promotions ","1","0.08"
"Current products","1","0.08"
"Customer reviews","1","0.08"
"Daily deals","1","0.08"
"Data","1","0.08"
"date (of harvest,packaging, etc.)","1","0.08"
"Deals ","1","0.08"
"Decriminalized cannabis ","1","0.08"
"Delivery","1","0.08"
"Delivery ","1","0.08"
"Delivery option for leafly","1","0.08"
"Descriptions on some strains","1","0.08"
"Detailed information regarding concentrates available at dispensaries near me.","1","0.08"
"Details of strains effects ","1","0.08"
"Details on how to identify strains","1","0.08"
"Different strains genetics ","1","0.08"
"Dispensary ","1","0.08"
