"q29","What percentage of disability are you rated, as indicated by the Veteran's Affairs (VA)?","n =  293  avg =  61.39"
"response","count","percent_responded"
"100","103","35.15"
"0","51","17.41"
"70","18","6.14"
"80","18","6.14"
"90","18","6.14"
"50","15","5.12"
"10","11","3.75"
"60","9","3.07"
"30","8","2.73"
"1","7","2.39"
"40","7","2.39"
"20","6","2.05"
"99","4","1.37"
"51","2","0.68"
"81","2","0.68"
"11","1","0.34"
"23","1","0.34"
"3","1","0.34"
"31","1","0.34"
"49","1","0.34"
"5","1","0.34"
"6","1","0.34"
"67","1","0.34"
"75","1","0.34"
"9","1","0.34"
"93","1","0.34"
"94","1","0.34"
"97","1","0.34"
"98","1","0.34"
