"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  8"
"response","count","percent_responded"
"Chronic pain","4","50"
"Posttraumatic stress disorder (PTSD)","4","50"
"Anxiety","3","37.5"
"Gastrointestinal/digestive system disorders","3","37.5"
"Insomnia","3","37.5"
"Allergies","2","25"
"Arthritis","2","25"
"Attention deficit/hyperactivity disorder (ADHD)","2","25"
"Depression","2","25"
"Eczema","2","25"
"Reflux esophagitis","2","25"
"HIV/AIDS","1","12.5"
"Inflammatory bowel disease (IBD)","1","12.5"
"Obesity","1","12.5"
"Other (please specify)","1","12.5"
"Substance abuse/addiction","1","12.5"
