"q10","Are you actively trying to reduce your prescription medication intake using cannabis? Please select all that apply.","n =  269"
"response","count","percent_responded"
"Not actively trying to reduce medication Intake","129","47.96"
"Antidepressants","76","28.25"
"Anxiolytics/Benzodiazepines","49","18.22"
"NSAID/non-opioid analgesics","28","10.41"
"Other (please specify)","21","7.81"
"Muscle relaxants","19","7.06"
"Narcotics/opioids","19","7.06"
"Other (please specify below)","19","7.06"
"Sedatives/hypnotics","15","5.58"
"Antimigraine","9","3.35"
"Antipsychotics","8","2.97"
"Anti-convulsants","4","1.49"
"Proton pump inhibitors","4","1.49"
