"response","count","percent_responded"
"25 months - 5 years","153","27.08"
"13 months - 2 years","119","21.06"
"10+ years","108","19.12"
"7 months - 1 year","72","12.74"
"3-6 months","33","5.84"
"61 months - 10 years","31","5.49"
"1-2 months","17","3.01"
"I do not use cannabis for medical purposes","17","3.01"
"Less than 1 month","15","2.65"
"How long have you been using cannabis for medical purposes?","How long have you been using cannabis for medical purposes?","How long have you been using cannabis for medical purposes?"
