"q54","What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?","n =  146  avg =  71.514"
"response","count","percent_responded"
"100","73","50"
"0","14","9.59"
"50","7","4.79"
"75","5","3.42"
"1","4","2.74"
"90","4","2.74"
"10","3","2.05"
"97","3","2.05"
"99","3","2.05"
"14","2","1.37"
"2","2","1.37"
"25","2","1.37"
"65","2","1.37"
"89","2","1.37"
"96","2","1.37"
"15","1","0.68"
"20","1","0.68"
"26","1","0.68"
"3","1","0.68"
"32","1","0.68"
"36","1","0.68"
"43","1","0.68"
"5","1","0.68"
"51","1","0.68"
"52","1","0.68"
"56","1","0.68"
"70","1","0.68"
"8","1","0.68"
"80","1","0.68"
"82","1","0.68"
"84","1","0.68"
"94","1","0.68"
"95","1","0.68"
