"q33","On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?","n =  146  avg =  96.836"
"response","count","percent_responded"
"0","62","42.47"
"100","10","6.85"
"10","8","5.48"
"150","7","4.79"
"200","6","4.11"
"40","6","4.11"
"300","5","3.42"
"50","5","3.42"
"400","3","2.05"
"15","2","1.37"
"20","2","1.37"
"250","2","1.37"
"55","2","1.37"
"60","2","1.37"
"600","2","1.37"
"70","2","1.37"
"700","2","1.37"
"75","2","1.37"
"800","2","1.37"
"1","1","0.68"
"1000","1","0.68"
"195","1","0.68"
"25","1","0.68"
"30","1","0.68"
"35","1","0.68"
"350","1","0.68"
"45","1","0.68"
"450","1","0.68"
"46","1","0.68"
"56","1","0.68"
"7","1","0.68"
"8","1","0.68"
"80","1","0.68"
