"q57","What product(s) and/or strain(s) do you want that are not currently available in your local dispensaries?","n =  266"
"response","count","percent_responded"
"N/A","18","6.77"
"None","18","6.77"
"N/a","8","3.01"
"All","6","2.26"
NA,"6","2.26"
"n/a","5","1.88"
"Not sure","4","1.5"
"I don't know","3","1.13"
"Na","3","1.13"
"Na ","3","1.13"
"none","3","1.13"
"Unknown","3","1.13"
"All of them","2","0.75"
"Blue dream","2","0.75"
"Edibles ","2","0.75"
"Flower","2","0.75"
"Green Crack","2","0.75"
"Idk","2","0.75"
"Lemon Skunk","2","0.75"
"No idea","2","0.75"
"None ","2","0.75"
"Northern lights","2","0.75"
"not sure","2","0.75"
"Unsure","2","0.75"
"?","1","0.38"
"0","1","0.38"
"1:1 strains clones and seeds for vets","1","0.38"
"3:1 cbd tincture","1","0.38"
"A 10%/10% blend of THC/CBD tested by chemists and recommended by a real doctor.","1","0.38"
"AC/DC (only for medical patients, since I use VA only, I can’t get the high CBD products for medical patients, so I use 1:1, which is still too high in THC","1","0.38"
"Ac/dc, cannatonic","1","0.38"
"affordable products","1","0.38"
"All of them ","1","0.38"
"all pax era pods","1","0.38"
"All Strains (flower not legal in NY)","1","0.38"
"All.... I don't have a local dispensary","1","0.38"
"animal cookie","1","0.38"
"ANY","1","0.38"
"Anything from California","1","0.38"
"Anything that is marijuana instead of hemp ","1","0.38"
"Avidekal","1","0.38"
"Banana kush","1","0.38"
"Better flower","1","0.38"
"better prices like Maine","1","0.38"
"Blue Cookies ","1","0.38"
"Blueberry ","1","0.38"
"Bubble hash","1","0.38"
"Canadian beasters ","1","0.38"
"Cannabutter","1","0.38"
"Capsules, and stronger edibles","1","0.38"
"Cartridges and edibles","1","0.38"
"cartriges","1","0.38"
"Cataract Kush, Night Terror OG ","1","0.38"
"CBD strains","1","0.38"
"CBD:THC of 4:1","1","0.38"
"Concentrates","1","0.38"
"Concentrates - CBD","1","0.38"
"Consistent strains ","1","0.38"
"Critical Kush","1","0.38"
"CT dispensaries and overall program needs reform.","1","0.38"
"DAB TABS","1","0.38"
"Definitely fruitier flavors","1","0.38"
"diamonds","1","0.38"
"Difficult to find same strain twice","1","0.38"
"Dips and pouches, hemp derived CBD, seeds, diamonds (concentrate), Bloody skunk (Flower strain), full melt, Bubble hash, hash rosin","1","0.38"
"Don't know","1","0.38"
"Don't use now","1","0.38"
"Don’t know","1","0.38"
"Don’t know ","1","0.38"
"dont have dispenseries","1","0.38"
"Dont know","1","0.38"
"dr grinspoon","1","0.38"
"Durban Poison flower","1","0.38"
"Durbon Poison; lemon marange,!Lemon haze","1","0.38"
"Edibles","1","0.38"
"enough edibles","1","0.38"
"Everything.  No longer live near dispensaries.","1","0.38"
"FECO/ RSO","1","0.38"
"Flower and edibles","1","0.38"
"Flower. Illinois dispensaries have a shortage ","1","0.38"
"Food edibles","1","0.38"
"Garlic bud","1","0.38"
"Garrila glue","1","0.38"
"Gelato, Katsu Kush.  More pure indica strains, less hybrids.","1","0.38"
"gg","1","0.38"
"Ghost train Haze ","1","0.38"
"Girl Scout cookie","1","0.38"
"glass bangers and proper dab rigs. ","1","0.38"
"Grandpa Larry","1","0.38"
"Harleyquinn","1","0.38"
"Hash","1","0.38"
"Hash, more edible choices","1","0.38"
"Hawaian Fresian Duck","1","0.38"
"Hemp derived products ","1","0.38"
"High cod/thc  content edibles (1000mg) or more","1","0.38"
"High energy strains","1","0.38"
"high terpene profiles","1","0.38"
"High thc Edibles ","1","0.38"
"Higher dose capsules","1","0.38"
"HTFSE","1","0.38"
"I am not going regularly anymore","1","0.38"
"I don't have legal access to cannabis","1","0.38"
"I don't knoe","1","0.38"
"I don't know enough to answer this.","1","0.38"
"I don't know yet","1","0.38"
"I enjoy the selection of the dispensaries within my area. ","1","0.38"
"I have access to the types I want","1","0.38"
"Isn’t legal for medical use in my state ","1","0.38"
"J1","1","0.38"
"Jack Herer ","1","0.38"
"Jack Herrer, Skywalker, purple train wreck","1","0.38"
"Jungle Boys","1","0.38"
"Kief","1","0.38"
"King Louis, more indica, more CBN, CBG, and terpene profiles","1","0.38"
"Lemon G","1","0.38"
"Live resin, diamonds, sauce, sugar","1","0.38"
"Local Dispensaries lol","1","0.38"
"Look","1","0.38"
"Lotions","1","0.38"
"Lower powered/cheaper flower so I can consume it more regularly","1","0.38"
"Lucky Charms","1","0.38"
"Many of them, so I grow my own","1","0.38"
"Maui waui","1","0.38"
"MJs Wellness","1","0.38"
"Moon rocks","1","0.38"
"More 1:1 or 2:1 thc:cbd ratio","1","0.38"
"More concentrate selection","1","0.38"
"More edible variety","1","0.38"
"more indicas","1","0.38"
"More options altogether. Usually only 2 or 3 options at a time. ","1","0.38"
"More pain relieving yet clear headed strains","1","0.38"
"More vape choices","1","0.38"
"Most","1","0.38"
"Mr. Nice guy","1","0.38"
"No local dispensary ","1","0.38"
"None are available in Louisiana","1","0.38"
"None available in my state","1","0.38"
"Nope ","1","0.38"
"Not applicable","1","0.38"
"Not sure ","1","0.38"
"Nothing is availible","1","0.38"
"old school schwag","1","0.38"
"Pennywise","1","0.38"
"Powdered drink mix packets for water","1","0.38"
"Prerolled","1","0.38"
"Quality over name","1","0.38"
"Reasonably priced medicine","1","0.38"
"reasonably priced products","1","0.38"
"Release cartridge by Fairwinds (designed for PTSD/anxiety)","1","0.38"
"Rockstar, THC 32%, CBD 13%","1","0.38"
"RSO","1","0.38"
"Sativa","1","0.38"
"Sativa ","1","0.38"
"Sayivas","1","0.38"
"Seeds ","1","0.38"
"Seeds and  clones ","1","0.38"
"Several ","1","0.38"
"Sfv Kush, Mendo Breathe and Durban Poison for daytime","1","0.38"
"Sinmint Cookies","1","0.38"
"Skunk and blue jayway","1","0.38"
"Skywalker","1","0.38"
"Skywalker ","1","0.38"
"Sour diesel flower","1","0.38"
"Strain specific vape carts","1","0.38"
"Strains are very limited where I live","1","0.38"
