"q19","What percent of your monthly cannabis purchases are through regulated sources (dispensaries, caregivers, etc.)","n =  242  avg =  76.413"
"response","count","percent_responded"
"100","143","59.09"
"0","26","10.74"
"50","13","5.37"
"99","6","2.48"
"90","4","1.65"
"5","3","1.24"
"75","3","1.24"
"97","3","1.24"
"1","2","0.83"
"2","2","0.83"
"20","2","0.83"
"60","2","0.83"
"80","2","0.83"
"85","2","0.83"
"94","2","0.83"
"95","2","0.83"
"98","2","0.83"
"10","1","0.41"
"11","1","0.41"
"13","1","0.41"
"16","1","0.41"
"19","1","0.41"
"25","1","0.41"
"27","1","0.41"
"3","1","0.41"
"30","1","0.41"
"35","1","0.41"
"40","1","0.41"
"45","1","0.41"
"49","1","0.41"
"51","1","0.41"
"54","1","0.41"
"56","1","0.41"
"7","1","0.41"
"70","1","0.41"
"72","1","0.41"
"79","1","0.41"
"88","1","0.41"
"91","1","0.41"
"96","1","0.41"
