"q79","Were you exposed to any of the following during your service? (Please select all that apply)","n =  56"
"response","count","percent_responded"
"Agent Orange","23","41.07"
"Burn Pits","13","23.21"
"I was not exposed to any of these","12","21.43"
"Asbestos","9","16.07"
"contaminated drinking water at camp Lejelune","9","16.07"
"Specific Environmental Hazards","9","16.07"
"Other (please specify)","6","10.71"
"Gulf war illness","4","7.14"
"Radiation Exposure","3","5.36"
"Children having birth defects like Spina Bifida","1","1.79"
"Contact with mustard gas or lewisite","1","1.79"
