"q13","Where are the locations of your pain (please check all that apply)","n =  60"
"response","count","percent_responded"
"Lower back","47","78.33"
"Knee","32","53.33"
"General joint pain","30","50"
"Shoulder","30","50"
"Neck","27","45"
"Hips","26","43.33"
"Leg","25","41.67"
"Generalized muscle pain","24","40"
"Foot","22","36.67"
"Hand","21","35"
"Upper back","20","33.33"
"Wrist","16","26.67"
"Head/headache","14","23.33"
"Arm","13","21.67"
"Buttocks","10","16.67"
"Full body","9","15"
"Abdomen","7","11.67"
"Chest","6","10"
"Mouth/dental pain","6","10"
"Face","5","8.33"
"Stomach","5","8.33"
"Other (please specify)","3","5"
"Genitalia","1","1.67"
