"q30","What are some barriers for you consuming cannabis? Please select all that apply.","n =  78"
"response","count","percent_responded"
"Money","27","34.62"
"Access to the right products","22","28.21"
"Place to consume cannabis","20","25.64"
"No barriers","18","23.08"
"Stigma","17","21.79"
"Workplace testing or other policies","16","20.51"
"Lack of knowledge","12","15.38"
"Time required to get medical card or obtain products","10","12.82"
"Other (please specify)","6","7.69"
"Previous bad experience","4","5.13"
