"q29","What percentage of disability are you rated, as indicated by the Veteran's Affairs (VA)?","n =  185  avg =  63.87"
"response","count","percent_responded"
"100","73","39.46"
"0","31","16.76"
"80","12","6.49"
"10","9","4.86"
"50","9","4.86"
"90","9","4.86"
"20","6","3.24"
"60","6","3.24"
"70","6","3.24"
"30","3","1.62"
"40","3","1.62"
"1","2","1.08"
"3","2","1.08"
"81","2","1.08"
"92","2","1.08"
"93","2","1.08"
"99","2","1.08"
"47","1","0.54"
"49","1","0.54"
"6","1","0.54"
"64","1","0.54"
"94","1","0.54"
"98","1","0.54"
