"q9","Have you experienced any side effects from using cannabis? Please select all that apply","n =  242"
"response","count","percent_responded"
"Dry mouth","158","65.29"
"Increased energy","72","29.75"
"More or less talkative","67","27.69"
"Sleepiness/fatigue","61","25.21"
"Changes in appetite","59","24.38"
"Experienced no side effects","44","18.18"
"Memory problems","42","17.36"
"Difficultly concentrating","30","12.4"
"Heart racing/palpitations","29","11.98"
"Changes in libido","26","10.74"
"Feeling of being ""altered""","26","10.74"
"Anxiety","24","9.92"
"Paranoia","21","8.68"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","19","7.85"
"Tough to get started in the morning (lassitude)","19","7.85"
"Racing thoughts","17","7.02"
"Other (please specify)","12","4.96"
"Headache","10","4.13"
"Dizziness","9","3.72"
"Apathy","7","2.89"
"Sweating","7","2.89"
"Depression","6","2.48"
"Nausea","4","1.65"
"GI changes (e.g. constipation, diarrhea, abdominal discomfort)","3","1.24"
