"q9","Have you experienced any side effects from using cannabis? Please select all that apply","n =  224"
"response","count","percent_responded"
"Dry mouth","139","62.05"
"Changes in appetite","62","27.68"
"Increased energy","51","22.77"
"Sleepiness/fatigue","50","22.32"
"More or less talkative","48","21.43"
"Experienced no side effects","47","20.98"
"Memory problems","35","15.62"
"Feeling of being ""altered""","25","11.16"
"Difficultly concentrating","24","10.71"
"Changes in libido","18","8.04"
"Other (please specify)","17","7.59"
"Dizziness","14","6.25"
"Heart racing/palpitations","14","6.25"
"Paranoia","12","5.36"
"Anxiety","11","4.91"
"Racing thoughts","11","4.91"
"Tough to get started in the morning (lassitude)","10","4.46"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","9","4.02"
"Sweating","9","4.02"
"GI changes (e.g. constipation, diarrhea, abdominal discomfort)","6","2.68"
"Headache","6","2.68"
"Nausea","5","2.23"
"Apathy","3","1.34"
"Depression","2","0.89"
