"q14","What are the effects of your pain? (Please select all that apply)","n =  34"
"response","count","percent_responded"
"Physical activity","32","94.12"
"Enjoyment of life","30","88.24"
"Sleep","27","79.41"
"Energy level","24","70.59"
"Mobility","24","70.59"
"Mood","23","67.65"
"Depression","22","64.71"
"Household chores","21","61.76"
"Concentration","19","55.88"
"Relationships with others","19","55.88"
"Sexual functioning","18","52.94"
"Anxiety","16","47.06"
"Self esteem","14","41.18"
"Memory","12","35.29"
"Appetite","11","32.35"
"Personal care","9","26.47"
