"q14","What are the effects of your pain? (Please select all that apply)","n =  153"
"response","count","percent_responded"
"Enjoyment of life","132","86.27"
"Physical activity","132","86.27"
"Energy level","119","77.78"
"Sleep","116","75.82"
"Mobility","112","73.2"
"Mood","108","70.59"
"Depression","96","62.75"
"Household chores","95","62.09"
"Concentration","81","52.94"
"Anxiety","78","50.98"
"Relationships with others","78","50.98"
"Self esteem","71","46.41"
"Sexual functioning","67","43.79"
"Memory","50","32.68"
"Personal care","44","28.76"
"Appetite","35","22.88"
