"q6","Which is the primary health condition that causes you the most distress? (Please select one)","n =  232"
"response","count","percent_responded"
"Chronic pain","88","37.93"
"Posttraumatic stress disorder (PTSD)","65","28.02"
"Anxiety","26","11.21"
"Cancer","10","4.31"
"Arthritis","9","3.88"
"Depression","9","3.88"
"Insomnia","6","2.59"
"Bipolar/manic depression","3","1.29"
"Gastrointestinal/digestive system disorders","3","1.29"
"Cardiovascular disease","2","0.86"
"Diabetes","2","0.86"
"Fibromyalgia/myositis","2","0.86"
"Hypertension","2","0.86"
"Obesity","2","0.86"
"Attention deficit/hyperactivity disorder (ADHD)","1","0.43"
"Inflammatory bowel disease (IBD)","1","0.43"
"Respiratory problems","1","0.43"
