"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  79"
"response","count","percent_responded"
"Anxiety","69","87.34"
"Chronic pain","62","78.48"
"Depression","62","78.48"
"Posttraumatic stress disorder (PTSD)","51","64.56"
"Insomnia","43","54.43"
"Arthritis","32","40.51"
"Allergies","23","29.11"
"Gastrointestinal/digestive system disorders","23","29.11"
"Hypertension","19","24.05"
"Substance abuse/addiction","18","22.78"
"Attention deficit/hyperactivity disorder (ADHD)","17","21.52"
"Obesity","16","20.25"
"Reflux esophagitis","16","20.25"
"Other (please specify)","13","16.46"
"Respiratory problems","13","16.46"
"Bipolar/manic depression","11","13.92"
"Cardiovascular disease","10","12.66"
"Diabetes","9","11.39"
"Fibromyalgia/myositis","8","10.13"
"Inflammatory bowel disease (IBD)","8","10.13"
"Eczema","5","6.33"
"Cancer","4","5.06"
"HIV/AIDS","4","5.06"
"Alzheimer's","1","1.27"
"Epilepsy","1","1.27"
"Multiple sclerosis","1","1.27"
