"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  174"
"response","count","percent_responded"
"Sleep/insomnia","93","53.45"
"Depression/mood","92","52.87"
"Anxiety/panic attacks","82","47.13"
"Pain","81","46.55"
"Aggression","45","25.86"
"Inflammation","38","21.84"
"Headache","32","18.39"
"Attention/concentration","27","15.52"
"Appetite/weight","26","14.94"
"Spasms","21","12.07"
"Nausea/vomiting","18","10.34"
"Other (please specify)","12","6.9"
"Ocular pressure","7","4.02"
"Skin conditions","6","3.45"
"Drug withdrawal","4","2.3"
"Mania/psychosis","3","1.72"
"Respiratory","3","1.72"
"Seizures","1","0.57"
