"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  419"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","123","29.36"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","102","24.34"
"I have reduced my prescription medication use in the past","90","21.48"
"I don’t take any medications","84","20.05"
"Anti-inflammatories","64","15.27"
"I'm not trying to reduce any medication use","64","15.27"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","64","15.27"
"Muscle relaxants","59","14.08"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","56","13.37"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","41","9.79"
"Other (please specify)","37","8.83"
"Statins (e.g. Lipitor, Crestor)","20","4.77"
"Steroids, including steroid creams","18","4.3"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","17","4.06"
"Antimigraine","13","3.1"
"Beta Blockers","13","3.1"
"Sedatives/hypnotics","13","3.1"
"Antihypertensives","12","2.86"
"Antipsychotics (e.g. Abilify, Seroquel)","10","2.39"
"Insulin","8","1.91"
"Barbiturates (e.g. Floricet)","7","1.67"
"Proton pump inhibitors","5","1.19"
"Antiemetics","4","0.95"
"Hormone replacement therapy (HRT)","2","0.48"
