"q9","Have you experienced any side effects from using cannabis? Please select all that apply","n =  170"
"response","count","percent_responded"
"Dry mouth","121","71.18"
"Changes in appetite","53","31.18"
"Sleepiness/fatigue","46","27.06"
"Increased energy","44","25.88"
"More or less talkative","43","25.29"
"Memory problems","35","20.59"
"Experienced no side effects","25","14.71"
"Feeling of being ""altered""","24","14.12"
"Changes in libido","23","13.53"
"Racing thoughts","19","11.18"
"Anxiety","18","10.59"
"Difficultly concentrating","18","10.59"
"Heart racing/palpitations","18","10.59"
"Paranoia","15","8.82"
"Tough to get started in the morning (lassitude)","15","8.82"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","12","7.06"
"Other (please specify)","12","7.06"
"Dizziness","11","6.47"
"Headache","10","5.88"
"Sweating","10","5.88"
"Apathy","5","2.94"
"Depression","3","1.76"
"GI changes (e.g. constipation, diarrhea, abdominal discomfort)","3","1.76"
"Nausea","2","1.18"
