"q5","What is the primary health condition for which you find cannabis to be helpful or most impactful? Please select one.","n =  834"
"response","count","percent_responded"
"Anxiety","259","31.06"
"Chronic pain","233","27.94"
"Depression/mood","123","14.75"
"Post-Traumatic Stress Disorder (PTSD)","67","8.03"
"Other (please specify)","52","6.24"
"Insomnia","38","4.56"
"Inflammatory Bowel Disease (IBD)","20","2.4"
"Attention Deficit/Hyperactivity Disorder (ADHD)","11","1.32"
"Nausea/vomiting","9","1.08"
"Arthritis","8","0.96"
"Multiple Sclerosis","7","0.84"
"Epilipsey","5","0.6"
"End of life care","1","0.12"
"Not using cannabis for a health condition","1","0.12"
