"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  299"
"response","count","percent_responded"
"Money to purchase products","143","47.83"
"Access to the right products","110","36.79"
"Money required to get medical card","94","31.44"
"Stigma","71","23.75"
"Owning a firearm","62","20.74"
"Workplace testing or other policies","41","13.71"
"Lack of knowledge","40","13.38"
"Place to consume cannabis","39","13.04"
"Other (please specify)","36","12.04"
"Previous bad experience","4","1.34"
