"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  284"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","123","43.31"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","88","30.99"
"I don’t take any prescription medications","81","28.52"
"Anti-inflammatories","60","21.13"
"Other (please specify)","52","18.31"
"Muscle relaxants","50","17.61"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","37","13.03"
"Statins (e.g. Lipitor, Crestor)","35","12.32"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","31","10.92"
"Antihypertensives","30","10.56"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","27","9.51"
"Steroids, including steroid creams","19","6.69"
"Beta Blockers","15","5.28"
"Sedatives/hypnotics","15","5.28"
"Antipsychotics (e.g. Abilify, Seroquel)","14","4.93"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","14","4.93"
"Antimigraine","13","4.58"
"Proton pump inhibitors","9","3.17"
"Hormone replacement therapy (HRT)","7","2.46"
"Insulin","7","2.46"
"Barbiturates (e.g. Floricet)","3","1.06"
"Antiemetics","2","0.7"
