"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  284"
"response","count","percent_responded"
"Sleep/insomnia","159","55.99"
"Depression/mood","154","54.23"
"Pain","145","51.06"
"Anxiety/panic attacks","125","44.01"
"Aggression","70","24.65"
"Inflammation","56","19.72"
"Attention/concentration","55","19.37"
"Headache","51","17.96"
"Appetite/weight","48","16.9"
"Spasms","35","12.32"
"Nausea/vomiting","31","10.92"
"Other (please specify)","15","5.28"
"Mania/psychosis","9","3.17"
"Skin conditions","9","3.17"
"Ocular pressure","8","2.82"
"Drug withdrawal","4","1.41"
"Seizures","4","1.41"
"Respiratory","2","0.7"
