"chosen","count","percent_all","percent_responded"
"Anti-inflammatories",94,0.0841539838854073,0.213636363636364
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)",147,0.131602506714414,0.334090909090909
"Antiemetics",5,0.0044762757385855,0.0113636363636364
"Antihypertensives",18,0.0161145926589078,0.0409090909090909
"Antimigraine",19,0.0170098478066249,0.0431818181818182
"Antipsychotics (e.g. Abilify, Seroquel)",15,0.0134288272157565,0.0340909090909091
"Barbiturates (e.g. Floricet)",9,0.00805729632945389,0.0204545454545455
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)",79,0.0707251566696508,0.179545454545455
"Beta Blockers",21,0.0188003581020591,0.0477272727272727
"Hormone replacement therapy (HRT)",3,0.0026857654431513,0.00681818181818182
"I have reduced my prescription medication use in the past",133,0.119068934646374,0.302272727272727
"Insulin",8,0.00716204118173679,0.0181818181818182
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)",63,0.0564010743061773,0.143181818181818
"Muscle relaxants",88,0.0787824529991047,0.2
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)",98,0.0877350044762757,0.222727272727273
"Other (please specify)",39,0.0349149507609669,0.0886363636363636
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)",168,0.150402864816473,0.381818181818182
"Proton pump inhibitors",10,0.00895255147717099,0.0227272727272727
"Sedatives/hypnotics",25,0.0223813786929275,0.0568181818181818
"Statins (e.g. Lipitor, Crestor)",29,0.0259623992837959,0.0659090909090909
"Steroids, including steroid creams",22,0.0196956132497762,0.05
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)",24,0.0214861235452104,0.0545454545454545
