"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  217"
"response","count","percent_responded"
"Chronic pain","212","97.7"
"Anxiety","134","61.75"
"Arthritis","126","58.06"
"Depression","126","58.06"
"Posttraumatic stress disorder (PTSD)","104","47.93"
"Insomnia","75","34.56"
"Gastrointestinal/digestive system disorders","68","31.34"
"Allergies","62","28.57"
"Hypertension","58","26.73"
"Other (please specify)","54","24.88"
"Obesity","46","21.2"
"Reflux esophagitis","44","20.28"
"Diabetes","41","18.89"
"Respiratory problems","39","17.97"
"Fibromyalgia/myositis","27","12.44"
"Attention deficit/hyperactivity disorder (ADHD)","26","11.98"
"Inflammatory bowel disease (IBD)","26","11.98"
"Substance abuse/addiction","22","10.14"
"Cardiovascular disease","20","9.22"
"Eczema","19","8.76"
"Cancer","17","7.83"
"Bipolar/manic depression","14","6.45"
"Epilepsy","3","1.38"
"HIV/AIDS","2","0.92"
"Multiple sclerosis","2","0.92"
"Alzheimer's","1","0.46"
