"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  419"
"response","count","percent_responded"
"Sleep/insomnia","235","56.09"
"Pain","220","52.51"
"Depression/mood","217","51.79"
"Anxiety/panic attacks","203","48.45"
"Aggression","112","26.73"
"Headache","87","20.76"
"Attention/concentration","82","19.57"
"Inflammation","77","18.38"
"Appetite/weight","63","15.04"
"Spasms","60","14.32"
"Nausea/vomiting","42","10.02"
"Other (please specify)","26","6.21"
"Ocular pressure","15","3.58"
"Skin conditions","13","3.1"
"Mania/psychosis","11","2.63"
"Respiratory","9","2.15"
"Drug withdrawal","6","1.43"
"Seizures","5","1.19"
