"q52","What questions regarding cannabis did we not ask that are important to you?","n =  147"
"response","count","percent_responded"
"None","21","14.29"
"none","13","8.84"
"N/A","11","7.48"
"n/a","7","4.76"
"N/a","5","3.4"
"None ","4","2.72"
"Na","3","2.04"
"Nothing","3","2.04"
"not sure","2","1.36"
"Not sure","2","1.36"
"A group or message board where I can learn more from people nearby","1","0.68"
"all good","1","0.68"
"Black market influence, pricing, spectrum of choices, etc. ","1","0.68"
"Can't think of any","1","0.68"
"Can't think of any.","1","0.68"
"can't think of them right now","1","0.68"
"Common negative side effects, common positive side effects","1","0.68"
"Cost....no one pays more for cannabis than Massachusetts mmj patients. Frustrating knowing the western part of the country pays just a fraction of the $ we do for the same product","1","0.68"
"Current Legal ramifications ","1","0.68"
"Do you feel any symptoms of addiction?  Do you regularly mix cannabis with alcohol or other drugs.  What recreational drugs do you take?","1","0.68"
"Do you know anyone else with a medical card ","1","0.68"
"Do you know the difference between indica & sativa?","1","0.68"
"Do you use cannabis for your pets or a caretaker for loved ones","1","0.68"
"🤷‍♀️","1","0.68"
"ease of getting license","1","0.68"
"Have i or anyone i know been disproportionately affected by cannabis related crimes prior to the recreational release","1","0.68"
"How are people with MS, Parkinson’s, etc being taught how to use","1","0.68"
"How are you concerned about negative health risks associated with cannabis?","1","0.68"
"How do the people you live with feel about your cannabis use?","1","0.68"
"How Does cannabis effect your spiritually?  ","1","0.68"
"How does cannabis help you?","1","0.68"
"How does cannabis make you feel?","1","0.68"
"How it effects daily life?  How it effects users socially, or in interpersonal relationships.   ","1","0.68"
"How knowledge of cannabis was acquired ","1","0.68"
"How long have been using","1","0.68"
"How much do you love cannabis","1","0.68"
"how often do you consume cannabis with recreational users?","1","0.68"
"How pricing is determined. It's way to expensive.","1","0.68"
"I have none at this time","1","0.68"
"I’m not sure","1","0.68"
"If I know what specific strains treat for medical needs ","1","0.68"
"In many of the multiple choice questions, there were separate answers for THC and THCa, as well as for CBD and CBDa - and I thought this was getting into a misleading detail because in these answers you could not choose more than one.","1","0.68"
"Interstate use amongst medical patients. State reciprocation","1","0.68"
"Is it a gateway drug or alcohol?","1","0.68"
"Is there such thing as smoking to much  ","1","0.68"
"It should be cheaper","1","0.68"
"Jdndnd","1","0.68"
"Knowledge of terpenes?   Consistency of products?","1","0.68"
"Level of experience. When they began. How their tolerance has changed over time.","1","0.68"
"Long term effects from smoking ","1","0.68"
"Medical conditions that are impacted by cannabis use (bipolar disorder, other mental health conditions).","1","0.68"
"Microdosing  Non psychoactive treatment of symptoms   ","1","0.68"
"N\A","1","0.68"
"na","1","0.68"
"No question ","1","0.68"
"noen","1","0.68"
"None that I know of.","1","0.68"
"None.","1","0.68"
"not any i can think of right now ","1","0.68"
"Not applicable","1","0.68"
"Not applicable ","1","0.68"
"Not e","1","0.68"
"nothing i can think of","1","0.68"
"Nothing I can think of.","1","0.68"
"Nothing.","1","0.68"
"Potential harmful ingredients in vape cartridges","1","0.68"
"Regarding cannabis use as neither ""social"" or ""medicinal"" but rather ""nutritional"" (as God intended).  Plus many of your answer sets are not appropriate for micro-dosers.","1","0.68"
"Risk involved","1","0.68"
"Taste","1","0.68"
"the difference between fear of stigma from loved ones and fear of stigma from society at large","1","0.68"
"The importance of decarboxilation of weed prior to making oil/butter.","1","0.68"
"This survey asked nothing about community or belonging to a group of like minded individuals.  Would be cool to get a pulse on what folks think about forming/joining a local Cannabis Community. :)","1","0.68"
"unknown","1","0.68"
"We haven't gone through all the questions yet","1","0.68"
"what is healthiest ingestion technique","1","0.68"
"What is your opinion of pharmaceutical companies developing medications based on cannabis molecules?    Are you concerned that big business could negatively impact the cannabis industry or community through unfair business practices or patenting of medicine?","1","0.68"
"What strains for specific ailments? ","1","0.68"
"when will it be rec legal in NY","1","0.68"
"Where does it come from?  What is used to grow it?  What is the right stuff for me?","1","0.68"
"Why do we not have the same laws for alcohol that we do for marijuana","1","0.68"
"Will a medical card holder be considered a recreational user?","1","0.68"
"Would you like cannabis to be allowed in nursing homes and assisted living. For elderly ","1","0.68"
"You could ask if I'm pretty loyal to just one dispensary or if I use a bunch of different ones and what my motivation might be either way","1","0.68"
"You didn't ask anything about minority communities negatively affected by prohibition. You should ask whether people think its important for emerging/legal businesses to benefit effected communities. ","1","0.68"
"You didn’t ask why I am using medical cannabis. I have PTSD, anxiety and depression. ","1","0.68"
"you should put this question at the very end","1","0.68"
