"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  126  avg =  23.175"
"response","count","percent_responded"
"0","38","30.16"
"50","8","6.35"
"21","7","5.56"
"51","6","4.76"
"100","5","3.97"
"2","4","3.17"
"6","4","3.17"
"10","3","2.38"
"13","3","2.38"
"17","3","2.38"
"20","3","2.38"
"9","3","2.38"
"14","2","1.59"
"16","2","1.59"
"19","2","1.59"
"23","2","1.59"
"24","2","1.59"
"35","2","1.59"
"49","2","1.59"
"52","2","1.59"
"1","1","0.79"
"11","1","0.79"
"18","1","0.79"
"25","1","0.79"
"27","1","0.79"
"29","1","0.79"
"3","1","0.79"
"30","1","0.79"
"32","1","0.79"
"36","1","0.79"
"38","1","0.79"
"39","1","0.79"
"41","1","0.79"
"42","1","0.79"
"44","1","0.79"
"45","1","0.79"
"48","1","0.79"
"54","1","0.79"
"64","1","0.79"
"7","1","0.79"
"70","1","0.79"
"77","1","0.79"
"83","1","0.79"
