"q46","What information would you like to know related to cannabis to help you make a decision about what cannabis products to use? Please select all that apply.","n =  224"
"response","count","percent_responded"
"Different effects of different cannabinoids","159","70.98"
"Medical value of cannabis","125","55.8"
"Cultivation and extraction","99","44.2"
"Cannabis and pharmaceutical drug interactions","96","42.86"
"Cannabis genetics","92","41.07"
"Side effects of cannabis","50","22.32"
"Other (please specify)","23","10.27"
"Other (please list below)","16","7.14"
