"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  146"
"response","count","percent_responded"
"Chronic pain","118","80.82"
"Depression","106","72.6"
"Anxiety","97","66.44"
"Posttraumatic stress disorder (PTSD)","83","56.85"
"Arthritis","66","45.21"
"Insomnia","61","41.78"
"Gastrointestinal/digestive system disorders","38","26.03"
"Hypertension","35","23.97"
"Allergies","34","23.29"
"Other (please specify)","31","21.23"
"Reflux esophagitis","28","19.18"
"Obesity","23","15.75"
"Attention deficit/hyperactivity disorder (ADHD)","22","15.07"
"Diabetes","22","15.07"
"Respiratory problems","22","15.07"
"Substance abuse/addiction","22","15.07"
"Cardiovascular disease","19","13.01"
"Eczema","19","13.01"
"Fibromyalgia/myositis","16","10.96"
"Inflammatory bowel disease (IBD)","14","9.59"
"Bipolar/manic depression","12","8.22"
"Cancer","10","6.85"
"HIV/AIDS","4","2.74"
"Multiple sclerosis","4","2.74"
"Epilepsy","2","1.37"
"Alzheimer's","1","0.68"
