“Do you face any of the following barriers for you to consume cannabis (Please select all that apply)”,
,
id,chosen
11186271761,Access to the right products
10991821033,Access to the right products
10977935510,Access to the right products
10965547652,Access to the right products
11250741921,Access to the right products
11215609540,Access to the right products
11208627585,Access to the right products
11166997346,Access to the right products
11166535497,Access to the right products
11166384877,Access to the right products
11137541759,Access to the right products
11135054998,Access to the right products
11100035804,Access to the right products
11036310394,Access to the right products
11033502369,Access to the right products
11003496788,Access to the right products
10888170961,Access to the right products
10885759801,Access to the right products
10878422887,Access to the right products
10877606410,Access to the right products
10877375002,Access to the right products
10876876072,Access to the right products
10876392009,Access to the right products
10875696093,Access to the right products
10875530570,Access to the right products
10875526461,Access to the right products
10875503972,Access to the right products
10875473988,Access to the right products
10875467061,Access to the right products
10875462742,Access to the right products
10875458883,Access to the right products
10867812743,Access to the right products
10867323115,Access to the right products
10859949104,Access to the right products
10842274754,Access to the right products
10837914247,Access to the right products
10836382971,Access to the right products
10833972658,Access to the right products
10831929904,Access to the right products
10802360410,Access to the right products
10764443236,Access to the right products
10758753382,Access to the right products
10749570344,Access to the right products
10716518478,Access to the right products
10685325930,Access to the right products
10682649508,Access to the right products
10681003613,Access to the right products
10675806972,Access to the right products
10667384024,Access to the right products
10661330404,Access to the right products
10660294275,Access to the right products
10659841121,Access to the right products
10658741910,Access to the right products
10658550964,Access to the right products
10626251939,Access to the right products
10604065323,Access to the right products
10597419828,Access to the right products
10596131278,Access to the right products
10591451425,Access to the right products
10585520406,Access to the right products
10580913646,Access to the right products
10576876213,Access to the right products
10868495105,Access to the right products
10716623034,Access to the right products
10607782752,Access to the right products
10575479401,Access to the right products
10684698263,Access to the right products
11212805644,Place to consume cannabis
11044680699,Place to consume cannabis
11037955315,Place to consume cannabis
10991821033,Place to consume cannabis
11208627585,Place to consume cannabis
11183903124,Place to consume cannabis
11166535497,Place to consume cannabis
11138361963,Place to consume cannabis
11137625236,Place to consume cannabis
11137541759,Place to consume cannabis
11135054998,Place to consume cannabis
11129003813,Place to consume cannabis
11061509902,Place to consume cannabis
11036310394,Place to consume cannabis
11003496788,Place to consume cannabis
10877416704,Place to consume cannabis
10876510380,Place to consume cannabis
10875473988,Place to consume cannabis
10875460020,Place to consume cannabis
10874749577,Place to consume cannabis
10860535252,Place to consume cannabis
10837914247,Place to consume cannabis
10822727213,Place to consume cannabis
10802360410,Place to consume cannabis
10764443236,Place to consume cannabis
10762649964,Place to consume cannabis
10662496256,Place to consume cannabis
10659841121,Place to consume cannabis
10658577550,Place to consume cannabis
10602936383,Place to consume cannabis
10596131278,Place to consume cannabis
10585520406,Place to consume cannabis
10580913646,Place to consume cannabis
10868495105,Place to consume cannabis
10716623034,Place to consume cannabis
11072705197,Workplace testing or other policies
11042816472,Workplace testing or other policies
11246906361,Workplace testing or other policies
11245529294,Workplace testing or other policies
11241251752,Workplace testing or other policies
11238077963,Workplace testing or other policies
11222559871,Workplace testing or other policies
11220644956,Workplace testing or other policies
11166535497,Workplace testing or other policies
11138400653,Workplace testing or other policies
11138361963,Workplace testing or other policies
11135054998,Workplace testing or other policies
11132638848,Workplace testing or other policies
11057923056,Workplace testing or other policies
10978063065,Workplace testing or other policies
10889700541,Workplace testing or other policies
10884768912,Workplace testing or other policies
10878214093,Workplace testing or other policies
10876876072,Workplace testing or other policies
10875473988,Workplace testing or other policies
10875462742,Workplace testing or other policies
10837914247,Workplace testing or other policies
10831929904,Workplace testing or other policies
10830786742,Workplace testing or other policies
10800317244,Workplace testing or other policies
10726117373,Workplace testing or other policies
10691181667,Workplace testing or other policies
10671862630,Workplace testing or other policies
10668103394,Workplace testing or other policies
10667384979,Workplace testing or other policies
10667384024,Workplace testing or other policies
10659841121,Workplace testing or other policies
10658774056,Workplace testing or other policies
10658649988,Workplace testing or other policies
10658580372,Workplace testing or other policies
10602936383,Workplace testing or other policies
10600857474,Workplace testing or other policies
10868495105,Workplace testing or other policies
10767176517,Workplace testing or other policies
10760373939,Workplace testing or other policies
10719755952,Workplace testing or other policies
10716623034,Workplace testing or other policies
10671009796,Workplace testing or other policies
11213907729,Money to purchase products
11186271761,Money to purchase products
11170278059,Money to purchase products
11151215837,Money to purchase products
11072705197,Money to purchase products
11044680699,Money to purchase products
11042816472,Money to purchase products
10991821033,Money to purchase products
10978796014,Money to purchase products
10977935510,Money to purchase products
10974437681,Money to purchase products
10956719648,Money to purchase products
11250741921,Money to purchase products
11246906361,Money to purchase products
11241251752,Money to purchase products
11238077963,Money to purchase products
11208627585,Money to purchase products
11183903124,Money to purchase products
11170108737,Money to purchase products
11166535497,Money to purchase products
11166390085,Money to purchase products
11161813510,Money to purchase products
11156698544,Money to purchase products
11156548224,Money to purchase products
11138930846,Money to purchase products
11138400653,Money to purchase products
11138361963,Money to purchase products
11134769709,Money to purchase products
11132638848,Money to purchase products
11131514317,Money to purchase products
11105188699,Money to purchase products
11062634752,Money to purchase products
11061509902,Money to purchase products
11036310394,Money to purchase products
11033502369,Money to purchase products
11006369538,Money to purchase products
11003496788,Money to purchase products
10978063065,Money to purchase products
10923325388,Money to purchase products
10893948558,Money to purchase products
10888170961,Money to purchase products
10882385979,Money to purchase products
10878214093,Money to purchase products
10877606410,Money to purchase products
10877565497,Money to purchase products
10877375002,Money to purchase products
10876392009,Money to purchase products
10875993925,Money to purchase products
10875700450,Money to purchase products
10875696093,Money to purchase products
10875529110,Money to purchase products
10875526461,Money to purchase products
10875507777,Money to purchase products
10875473988,Money to purchase products
10875462742,Money to purchase products
10874749577,Money to purchase products
10872582813,Money to purchase products
10870148985,Money to purchase products
10868096498,Money to purchase products
10867812743,Money to purchase products
10867810520,Money to purchase products
10867323115,Money to purchase products
10860535252,Money to purchase products
10842274754,Money to purchase products
10837914247,Money to purchase products
10836382971,Money to purchase products
10833972658,Money to purchase products
10822727213,Money to purchase products
10802360410,Money to purchase products
10800317244,Money to purchase products
10764443236,Money to purchase products
10762649964,Money to purchase products
10758753382,Money to purchase products
10749570344,Money to purchase products
10685117930,Money to purchase products
10682649508,Money to purchase products
10681003613,Money to purchase products
10677653881,Money to purchase products
10675806972,Money to purchase products
10670361680,Money to purchase products
10668597062,Money to purchase products
10668361624,Money to purchase products
10668312322,Money to purchase products
10667582585,Money to purchase products
10667384979,Money to purchase products
10667384024,Money to purchase products
10667369837,Money to purchase products
10660833205,Money to purchase products
10659841121,Money to purchase products
10658550964,Money to purchase products
10626251939,Money to purchase products
10624147163,Money to purchase products
10602936383,Money to purchase products
10598255910,Money to purchase products
10598122285,Money to purchase products
10596131278,Money to purchase products
10585520406,Money to purchase products
10583893598,Money to purchase products
10581933788,Money to purchase products
10580913646,Money to purchase products
10576876213,Money to purchase products
10868495105,Money to purchase products
10767176517,Money to purchase products
10719755952,Money to purchase products
10716623034,Money to purchase products
10699810522,Money to purchase products
