"q48","What are your general thoughts regarding the legalization of cannabis?","n =  720"
"response","count","percent_responded"
"Good","5","0.69"
"Love it","5","0.69"
"All for it","4","0.56"
"Great","4","0.56"
"Legalize it","4","0.56"
"About time","3","0.42"
"Do it","3","0.42"
"Finally!","3","0.42"
"Good ","3","0.42"
"It should be legal","3","0.42"
"Positive","3","0.42"
"Positive ","3","0.42"
"Should be legal","3","0.42"
"About time ","2","0.28"
"Awesome ","2","0.28"
"Finally","2","0.28"
"good","2","0.28"
"Happy","2","0.28"
"It's about time.","2","0.28"
"It should be legal in all 50 states.","2","0.28"
"It should be legalized ","2","0.28"
"It’s about time ","2","0.28"
"Legalize it ","2","0.28"
"positive","2","0.28"
"Pro-legalization","2","0.28"
"yes","2","0.28"
"100 for it","1","0.14"
"100% believe in legalization, though I'm worried about the regulatory consequences of cannabis becoming a schedule 2 drug.","1","0.14"
"100% in favor!!","1","0.14"
"100% in favor. ","1","0.14"
"100% needs to happen, stigma needs to be eliminated ","1","0.14"
"100% pro","1","0.14"
"50/50 I want it to happen but I don’t want the standardization to limit quality. ","1","0.14"
"A positive turn for patients with a wide spectrum of issues. Less pharmies and more naturals! We've all seen the effects of too many pills on our neighbors, friends and family. Offer more alternatives and let people decide for themselves what works better for them and has less side effects.","1","0.14"
"• More and more people will use cannabis   • Cannibis legalization will usher in Americas new version of ""big tobacco""    • Prices of marijuana will increase and those who TRULY need it will suffer vs people who use it just to get high.   • Drug cartels and the black market will continue to function under the legalization of marijuana and will benefit.   • The number of fatal accidents with drivers testing positive for marijuana use has sky rocketed.     I am a medical marijuana patient, I do use it recreationally but it is going to do more harm then it does good and that is my personal opinion as well as factual studies that have proven legalization brings problems. ","1","0.14"
"About Fucking Time","1","0.14"
"About time!","1","0.14"
"About time!  ","1","0.14"
"About time.","1","0.14"
"about time. ","1","0.14"
"Absolutely","1","0.14"
"Age regulated but absolutely support","1","0.14"
"Agree","1","0.14"
"ALL FOR IT","1","0.14"
"All for it. Regulate and with proper use it's far safer than alcohol or any other drugs. ","1","0.14"
"All for it. While there should always be a medical component, it should be as legal as tomatoes. (People grow their own, but yet there is still a tomato industry...)","1","0.14"
"Am all for it","1","0.14"
"amazing ","1","0.14"
"As a medical patient I find access awesome but some of the dispensaries are more strict than others. SERA naturals for example is like fort nox and I feel as though I'm being treated like a criminal in there. Also, some of the workers at dispensaries (NETA) get personally offended if you don't like their product even if it is objectively not of good quality. It takes a bit to find places that have all around great quality products and selection. So far Revolutionary Clinics is my favorite but their edible selection isn't great.","1","0.14"
"As a UK resident, any move in the law to help me to access medicinal cannabis","1","0.14"
"As a Veteran with PTSD in a state where it isn't legal, I have to watch friends die due to opioid addictions rather than allow them to smoke a plant. Where is the logic in that? I don't smoke to get ""high"", I smoke to get ""normal"".  I am off of over 15 drugs with cannabis and I can be a father. Where on the ""legal"" drugs I was a zombie","1","0.14"
"As long as it doesn't interrupt the supply to people with medical cards I'm all for it.","1","0.14"
"As soon as possible, with proper regulations and taxes.","1","0.14"
"As with any ingested substance that affects the body, there are risks for abuse and disuse, along with potential unintended social side effects, but when compared to other socially acceptable substances - notably alcohol - it is far less risky.  If nothing else, legalization should open up the doors for deep medical research which will hopefully provide effective alternatives to pharmaceuticals for many people.","1","0.14"
"Awesome","1","0.14"
"Being a byproduct of the hippie era, I've long been an advocate for legalization for both medical and recreational use. ","1","0.14"
"Best change of law in my life time","1","0.14"
"Best decision ever made.","1","0.14"
"Best thing ever. Should have happened year ago","1","0.14"
"Best thing that’s happened to medicine since the discovery of anesthesia. ","1","0.14"
"Best thing to happen ","1","0.14"
"Better for everyone ","1","0.14"
"Better research","1","0.14"
"Big supporter especially in the age of opioid abuse and the reluctance of medical providers to prescribe opioid for real, actual and accute every day pain","1","0.14"
"Black communities have been systematically targeted through historic illegal cannabis. Because of this, legalization has a social justice component that is relevant and important. I believe this is why it stayed illegal and punishment were bias between black and white communities. Post civil rights movement it was used as a systematic tool of oppression. ","1","0.14"
"Black markets are inherently dangerous. Legalizing cannabis has proven to be extremely successful in every case it's been implemented here in the US","1","0.14"
"bring it on","1","0.14"
"Bring it on! ","1","0.14"
"Cannabis and Hemp are both very powerful resources that have been used for healing bodies and building houses throughout history. I am cautiously optimistic to see the government regulations of this plant come into the spotlight over the last few years. ","1","0.14"
"Cannabis does not kill people, it helps people. things that you have to make like alcohol and hard drugs kill everyday. ","1","0.14"
"Cannabis is medicine. Cannabis should be available to anyone. There are some many helpful uses and so many variations of cannabis that making it hard to access is criminal by those that support and impose those laws.","1","0.14"
"Cannabis is natures true medicine, it shouldn’t be illegal to consume it","1","0.14"
"Cannabis legalization and decriminalization across the country is long overdue. We need to stop locking up people of color over a plant and start generating tax revenue and open access to medical patients across the board.  ","1","0.14"
"Cannabis needs to be legalized in medical and recreational forms. Not only will the ill benefit from this, but an average citizen will as well. Cannabis as it is well know in The Community, is a harmless substance that is only illegal because of racism that occurred in the early days of America.     In other words Legalize It!","1","0.14"
"cannabis should be 100% legal on federal and state levels just like alcohol.","1","0.14"
"Cannabis should be reclassed as a schedule 1 drug given the genetic research that has gone into the cannabis plant and ability to identify and measure the effects of each individual chemical compound within the plants makeup. Cannabis has proven to be non addictive medicine that has been effective in pain therapy, muscle recovery, appetite stimulator, and in some lab tests eradicate cancer cells. The industry makers have made cannabis available in a true doseable form, therefore enabling an environment where doctors and patients can monitor and track the use of cannabis as a primary or supplemental medicine. Cannabis is now being coined the ""exit drug"" and could have a significant, positive impact on the nations current opioid crisis. ","1","0.14"
"Cannot understand why it is illegal at all. ","1","0.14"
"Change the nomenclature, pot industry must rebrand if it ever wants to be truly legitimate. Keep recreational/medical separate units. I hope to god mj does not go down some big pharma path, but we must do something about the culture of weed (the names, the stereotypes) not overshadowing the medicinal benefits  that has helped countless people. I don't want to buy my cancer ridden grandma something called thunderfuck weed, can we call it like level 3, or chemo-easer or something not so blatant?! Also: DOJ-stay the FUCK out of this and go after the opioid crisis. I'm tired of seeing people OD on the street every single day. I'm tired of the needles, the nodding off in the middle of traffic, the sight of small children sitting alone in a car for hours while their parents are utter zombies. FIX THAT SHIT.  BEFORE YOU GO AFTER MOTHER NATURE.","1","0.14"
"Corruption from government and pharmaceutical companies is the biggest impediment to legalization and public perception regarding its use.","1","0.14"
"Couldn't be happier. I don't understand why it has taken as long as it has. We still have a long road ahead of us but it's better late than never!","1","0.14"
"Decriminalization not legalisation","1","0.14"
"Definitely tax the rich","1","0.14"
"do it already","1","0.14"
"Do it faster and let more people start businesses","1","0.14"
"Do it immediately with strict regulations on methods of processing to avoid the path of tobacco, poppy, and other plants made dangerous by overzealous processing for profit.","1","0.14"
"Do it NOW!!! Very beneficiary medical wise. SAVES LIVES  ","1","0.14"
"Do it! And while you're doing that legalize all drugs.","1","0.14"
"Do it. But don't let the Feds, or wall street, have anything to do with it","1","0.14"
"Do not support","1","0.14"
"Don't oppose recreational legalization if the taxes pave the way for the rest of the plant's decriminalization.  MUST BE RESCHEDULED and open up research in the U.S.  We need to quit relying upon other countries for our information.  AND THEN THERE IS HEMP.","1","0.14"
"End Prohibition, Expunge all Prior Victims of Nixon's Unconstitutional War on Drugs, and Let My People Grow!","1","0.14"
"End the prohibition and free the leaf","1","0.14"
"Excited about the possibilities of scientific study but concerned the smaller growers will succumb to big tobacco interests.  It has increased the variety of products out there but also made everything much more expensive.","1","0.14"
"Excited that it finally happened ","1","0.14"
"Excited, but I hope the education about Cannabis is still prioritized.","1","0.14"
"Extremely supportive of the safer option to pain management.","1","0.14"
"Fantastic ","1","0.14"
"Federal government needs to legalize marijuana. Get on the same page as the rest of the states.","1","0.14"
"Federal Legalization ","1","0.14"
"federal medical marijuwana","1","0.14"
"Feel positive about it","1","0.14"
"Finally it’s fantastic ","1","0.14"
"Finally! ","1","0.14"
"FINALLY!! I can't wait until it's federally legal. It's ridiculous to forbid a harmless plant with so many benefits. ","1","0.14"
"for it","1","0.14"
"For it","1","0.14"
"For it as long as dispensaries are able to maintain medicinal needs","1","0.14"
"Free the plant and stop government oppression against those of us who consume it.  Cannabis is safer than a tomato and should be regulated accordingly.","1","0.14"
"Free the Weed!!!","1","0.14"
"Freedom ","1","0.14"
"Fuck yeah","1","0.14"
"Full legalization; regulation.  Give the tax funds to schools","1","0.14"
"Fully support it, should have been done years ago, many innocent people jailed for no reason","1","0.14"
"Get it live in Ma","1","0.14"
"Get it over with ","1","0.14"
"Get on with it already","1","0.14"
"get the stores up and running...more seeds to grow AT HOME","1","0.14"
"Glad to be legal, wish it were less regulated and more access everywhere","1","0.14"
"Good 'ol USA Thank U for Democracy","1","0.14"
"Good for adults","1","0.14"
"Good for the culture","1","0.14"
"Good idea, will be interesting to see how it integrates into society.","1","0.14"
"Good idea. All around good idea","1","0.14"
"Good move","1","0.14"
"Good mushrooms should be next","1","0.14"
"Great for medical use. ","1","0.14"
"Great for recreational smokers not so much for patients ","1","0.14"
"Great idea","1","0.14"
"Great idea.  Still expensive ","1","0.14"
"Great!!! It has helped me so much with seizures and anxiety! I think more info should be available about cultivation and extraction techniques.","1","0.14"
"great, but need to help low income industry players get funds","1","0.14"
"Greatest thing ever ","1","0.14"
"Greatest thing since the freedom of the slaves","1","0.14"
"Grow your own","1","0.14"
"happening way too slowly. stop restricting access","1","0.14"
"happy ","1","0.14"
"Happy about it. Wish I had been on board sooner. ","1","0.14"
"Happy it’s legal and can get it from a safe source","1","0.14"
"Happy that it is finally recognized for medical purposes","1","0.14"
"Hopefully it will bring prices down and be more easily available.","1","0.14"
"hoping for well done double-blind placebo-controlled studies without influential money/companies funding them","1","0.14"
"Hurry up already!!","1","0.14"
"Hurry up Ireland please?","1","0.14"
"Hurry up!","1","0.14"
"Hurry up!!!!","1","0.14"
"I'd rather it stay medical. The stigma is bad enough.","1","0.14"
"I'm all for ending the prohibition of cannabis  ","1","0.14"
"I'm all for it ","1","0.14"
"I'm all for it. I'm heavily invested in both the Canadian and US sector. I preach to everyone around my about it. Legalization should have happened decades ago and the fact that it took so long is ridiculous.","1","0.14"
"I'm excited","1","0.14"
"I'm fine with it as long as the Maine Medical Program stays in place as it is -- meaning the caregivers are able to keep doing what they are doing. I have more confidence & trust in local caregivers whom I know personally than I do any retail establishment. Everyone should have access to good quality medicine. ","1","0.14"
"I'm for it, but it needs to be done on a state by state basis before anything becomes federally legal  ","1","0.14"
"I've really suffered after moving from a place where I could legally access cannabis with a medical card to a place where it is criminalized and inaccessible. Additionally I no longer qualify for medicaid in this new state. Needless to say, my access to medical care and treatment has gone down considerably. Not only am I unable to get mental health care, I'm unable to properly self-medicate without legal dispensaries and strain specificity.    Criminalization of is a structural determinant of health. Given all the intersecting issues (mass incarceration, parental stress/child maltreatment, opioid epidemic) related to cannabis legalization, I think it's absurd that research is being limited on something with such incredible capacity to reduce health disparities. Legalizing cannabis would help individuals, families, communities, businesses, and health care systems. It's time for cannabis to be formally integrated into comprehensive, whole person health care.","1","0.14"
"I agree with the legalization of cannabis. I feel it is something that wont kill you such as things like alcohol and tobacco. It will help support schools, and communities off of the taxes not to mention the jobs that are created from it.","1","0.14"
"I agree with the process","1","0.14"
"I am 100% in support of legalization. I smoke cannabis religiously and do not see my life any better without it.","1","0.14"
"I am behind decriminalizing natural remedies and methods to enhance the human experience. I am most concerned about big business using cannabis to achieve enormous personal gain without being involved in the community. In other words, I'd like us to maintain cannabis' sovereignty from the ways of the pharmaceutical giants and keep it in the public domain.","1","0.14"
"I am extremely happy and excited by this notion and very hopeful that it eventually becomes accessible nationwide and even globally.","1","0.14"
"I am glad that it’s getting shown in a new light, that it truly has medical and therapeutic benefits and that it’s not some dangerous gateway drug that’s as bad as the truly dangerous drugs out there. I am happy I can get my cannabis in a safe secure dispensary instead of needing to get it off the streets.  At the same time, I see it as something that can be enjoyed like coffee, and hopefully it is seen like that sometime in the future.","1","0.14"
"I am grateful it is finally legalized, but sincerely hope more is done in reparations for the communities disproportionally impacted by the ban and later racism-fuled ""war on drugs"".   ","1","0.14"
"I am happy with it.  Although I feel people need to understand having legal access to it does not mean I can be high all the time.  ","1","0.14"
"I am hopeful it will benefit the general population and happy that we are finally at this point.","1","0.14"
"I am in agreement with legalization but from someone suffering from a chronic illness... I don't want it to be taking not seriously are considered more of a joke since it is now recreational. I do feel it should be available to anyone that wants it or needs it","1","0.14"
"I am in favor due to it helped the quality level in my life regarding pain, inflammation along with exercise too.","1","0.14"
"I am looking forward to it","1","0.14"
"I am okay with medical legalization, and neutral on recreational as I see it on the same plane as alcohol","1","0.14"
"I am overjoyed about it, most definitely. It helps with some of the previous anxiety I'd feel while smoking. :)  But now, even though I live in a state where it's legal, I still had to take an employment drug test. This contradiction is very high stress and unnecessary and is the only thing that stops me from being an entirely 'out' cannabis user. ","1","0.14"
"I am pleased that its legal at the state level but It needs to be legal federally, just like alcohol and tobacco.  I am concerned about losing my job if tested randomly despite not being under the influence while at work. ","1","0.14"
"I am pro careful and methodical legalization.","1","0.14"
"I am surprised but i will be even more surprised when it's legal at a federal level","1","0.14"
"I am very pro legalization!","1","0.14"
"I am worried about people driving stoned. ","1","0.14"
"I believe it is long overdue","1","0.14"
"I believe it should be declassified as a schedule 1 as it has MANY medicinal uses as well as should be legal to adults 21 and over in all states!!!","1","0.14"
"I believe it should be legalized at a federal level, for personal use and cultivation. With similar regulations as alcohol.","1","0.14"
"I believe it to be safer than tobacco and alcohol, therefore more deserving of legalization than those products.","1","0.14"
"I believe its great that cannabis is more accessible once it is legalized. However, I wish there were more opportunities for individuals without money or political power to establish businesses and benefit from the legal market","1","0.14"
"I believe most states are moving in the right direction in regards to cannabis, however the efforts will be for nothing if the federal government doesn’t legalize on the federal level.","1","0.14"
"I believe that cannabis should be legalized. To me, it is no different than alcohol. ","1","0.14"
"I believe that the legalization of cannabis is great for economic growth and the overall health and stature of humans and animals alike. Cannabis can replace thousands of harmful products, foods, textiles and medicines and could really start the frontier of the next age. I believe if it was legalized completely all around the world that we would see a dramatic decrease in crimes and just overall problems in general. Possibly making the world a happier place to inhabit.","1","0.14"
"I believe that there are many more health benefits than there are negative. It helps better than any anti-depressant that I've ever used.","1","0.14"
"I believe the process is fueled by good intentions, that cannabis has a huge medical potential, and that the cannabis ""revolution"", if you will, is only just beginning. The fact that it's illegal in the first place is a huge blemish on America (as it's original illegalization/spread of the ""reefer madness"" stigma were both rooted in racism against Mexicans) and proof that our country has been corrupt for at least a century. Cannabis is awesome, America kind of sucks.","1","0.14"
"I believe this is an amazing plant and it can truly help people lead better, more fulfilling lives.  It can even save lives in many instances.  I fully support the legalization of cannabis.  It is an extremely valuable medicine for many different ailments/mental health disorders.","1","0.14"
"I believe whole heartedly that Cannabis should be 100% legal and the fact that it is a Schedule 1 drug is the most ridiculous thing in the world. ","1","0.14"
"I can't wait to freely purchase cannabis edibles for my anxiety. A friend of mine is currently making the eatables for me.","1","0.14"
"I can't wait!","1","0.14"
"I disagree with many of the the stances the government takes on social issues, the war on drugs is no exception.","1","0.14"
"I don't think cannabis is very significant to people, except to 1) people who need it for health reasons, and to 2) the bigots who want to put people in prison for it. Everyone in the middle seems to equate it either with beer or crack.","1","0.14"
"I don’t see why it’s not already legal. There are significantly more benefits to using marijuana over many commonly over prescribed medications in the US.","1","0.14"
"I fear for caregivers, as we are the ones making sure those without income are getting their meds and recommendations . We should be allowed more patients .","1","0.14"
"I feel as if it should be legal now.  Its benefits FAR outweigh the negatives (If there are even any negatives?)","1","0.14"
"I feel it's long overdue but I worry about over regulation and big corporations taking over and lowering quality and accessibility in order to profit. ","1","0.14"
"I feel it should be legalized world wide","1","0.14"
"I feel like its a fine idea. Its safer than alcohol and provides tons of benefits","1","0.14"
"I feel that people should have the right to choose what they need to help them, and if Cannabis helps they should be able to get it.","1","0.14"
"I fell is less dangerous than alcohol","1","0.14"
"I fully support full legalization. In Massachusetts, however, I have been disappointed with the stigma still attached despite being legal. This shows up in the form of barring cannabis users from using anywhere outside a private home and from growing “within view of others.” Legalization is great, the implementation isn’t always","1","0.14"
"I fully support it and believe it should be legalized and regulated nation wide. ","1","0.14"
"I fully support responsible use of cannabis for both medical and recreational purposes.","1","0.14"
"I fully support the legalization of cannabis.  It is an amazing plant that helps so many people in many different ways.","1","0.14"
"I have been saying to legalize, tax and regulate the industry for over two decades...I am just glad it is finally headed in the right direction","1","0.14"
"I have mixed feeling about the legalization of cannabis. I think it should be used for medicinal purposes and that people who use it recreationally should use it responsibly. I worry that legalization will turn into Big Weed (like Big Pharma) and that access/costs will become problematic once that happens. If/when it becomes legal on that level, I hope that people with marijuana charges will be helped.","1","0.14"
"I hope it becomes federally legalized and regulated ","1","0.14"
"I hope it doesn't push the medical program out when the state sees how much money they can make on rec.","1","0.14"
"I hope it drives down prices for medicinal users","1","0.14"
"I hope the world mellows out and behaves with selflessness","1","0.14"
"I like it","1","0.14"
"i like it but feel like there's more law's","1","0.14"
"I love it, long time coming!","1","0.14"
"I love that the general public will finally have access to this sacred plant. Biggest issue to me is where we consume or more to the point can't consume. We need social consumption lounges!","1","0.14"
"I personally think cannabis is a lot safer than alcohol, I am all for the legalization of cannabis. ","1","0.14"
"I strongly believe that it should be federally legalized!","1","0.14"
"I strongly support legalization","1","0.14"
"I support both the legalization and the proper, fair taxation of it.","1","0.14"
"I support it ","1","0.14"
"I support it and always have","1","0.14"
"I support legalization ","1","0.14"
"I support medical use but generally opposed to recreational use ","1","0.14"
"I support nationwide legal adult use. ","1","0.14"
"I think all drugs should be legal, all people should be legal and all love should be legal ","1","0.14"
"I think great.","1","0.14"
"I think it's a civil right","1","0.14"
"I think it's a great idea, and a great way for our struggling economy to rebuild by taxing use and putting it back into our infrastructure, education, benefits for disadvantaged folks. I'm all for it! Cannabis has so many beneficial uses, and I find it disheartening that it's categorized in the same drug class as heroine and other opioids.","1","0.14"
"I think it's a great movement ","1","0.14"
"I think it's a net good, but I wish more attention was paid to the downsides of cannabis use, especially in younger people. Media has almost swung too far in the ""weed is good!"" direction. For some people, it's a bad choice. A little more care and caution in trying cannabis should be promoted.","1","0.14"
"I think it's about time to stop the stigma of this obviously wonderful medical plant. ","1","0.14"
"I think it's great and necessary.","1","0.14"
"I think it's great!","1","0.14"
"I think it's important that it's done in a respectful and thoughtful way instead of becoming the next big capitalist machine, given the history of the plant I think that would be pretty upsetting.  And  I hope that legalizing cannabis will lead to people who were arrested because of the war on drugs being released from prison??","1","0.14"
"I think it's long overdue ","1","0.14"
"I think it's the most important next step that needs to happen for a multitude of conditions and struggles. It's also vital that it be de-scheduled so accurate research can happen and everything we know is not based on anecdotal information.","1","0.14"
"I think it's wonderful. I hope that it enables this amazing therapeutic plant to reach more number of people. I hope that it can help to dispel the false information that our government has perpetuated surrounding cannabis. I hope that it encourages evidence based decisions on the subject.","1","0.14"
"I think it is a good idea, and it should replace tobacco.","1","0.14"
"I think it is a good thing, it is a very helpful medicine in many different ways for so many people. ","1","0.14"
"I think it is an amazing thing. To be able to have something that let's me get out of my house and to be able to function without being on meds.","1","0.14"
"I think it is criminal that there are still states under prohibition.  I have relatives who suffer seizures.  They are contemplating moving to a legal state.  Every American citizen should have access.","1","0.14"
"I think it is great and hope it continues to be more regulated, hopefully stay same prices or get cheaper, and stigma decreases","1","0.14"
"I think it is great and that it is something the federal government needs to do as well.","1","0.14"
"i think it is great.. alcohol is far more damaging and socially accepted.. crazy","1","0.14"
"I think it is important that it is legalized. Too many people have been arrested over marijuana.","1","0.14"
"I think it is overall a good thing, and very exciting, however issues around social equity, big business, and environmental impact in particular are disconcerting. ","1","0.14"
"I think it should be just for medical","1","0.14"
"I think it should be legal","1","0.14"
"I think it should be legal across the board federally ","1","0.14"
"I think it should be legal all across the board ","1","0.14"
"I think it should be legal and used for all kinds of funding.","1","0.14"
"I think it should be legal everywhere ","1","0.14"
"I think it should be legal everywhere.","1","0.14"
