"q79","Were you exposed to any of the following during your service? (Please select all that apply)","n =  329"
"response","count","percent_responded"
"I was not exposed to any of these","111","33.74"
"Burn Pits","94","28.57"
"Asbestos","82","24.92"
"Specific Environmental Hazards","53","16.11"
"Other (please specify)","36","10.94"
"Radiation Exposure","34","10.33"
"Agent Orange","31","9.42"
"contaminated drinking water at camp Lejelune","25","7.6"
"Gulf war illness","25","7.6"
"Gulf war illness in Afghanistan","9","2.74"
"Contact with mustard gas or lewisite","7","2.13"
"Children having birth defects like Spina Bifida","3","0.91"
"Project 112/SHAD","1","0.3"
