"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  79"
"response","count","percent_responded"
"Dry mouth","59","74.68"
"More or less talkative","26","32.91"
"Changes in appetite","25","31.65"
"Increased energy","24","30.38"
"Sleepiness/fatigue","22","27.85"
"Feeling of being ""altered""","11","13.92"
"Paranoia","10","12.66"
"Heart racing/palpitations","9","11.39"
"Other (please specify)","9","11.39"
"Difficulty concentrating","8","10.13"
"Anxiety","7","8.86"
"Memory problems","7","8.86"
"Changes in libido","5","6.33"
"Sweating","5","6.33"
"Nausea","4","5.06"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","3","3.8"
"Apathy","2","2.53"
"Depression","2","2.53"
"Dizziness","2","2.53"
"Racing thoughts","2","2.53"
"Tough to get started in the morning (lassitude) or ""couch lock""","2","2.53"
"GI changes (constipation, diarrhea, abdominal discomfort)","1","1.27"
