"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  144"
"response","count","percent_responded"
"Money to purchase products","81","56.25"
"Access to the right products","65","45.14"
"Stigma","51","35.42"
"Owning a firearm","48","33.33"
"Money required to get medical card","47","32.64"
"Workplace testing or other policies","41","28.47"
"Place to consume cannabis","39","27.08"
"Lack of knowledge","23","15.97"
"Other (please specify)","14","9.72"
"Previous bad experience","6","4.17"
