"q79","Were you exposed to any of the following during your service? (Please select all that apply)","n =  214"
"response","count","percent_responded"
"I was not exposed to any of these","74","34.58"
"Asbestos","58","27.1"
"Burn Pits","57","26.64"
"Specific Environmental Hazards","40","18.69"
"Other (please specify)","29","13.55"
"Agent Orange","22","10.28"
"Radiation Exposure","20","9.35"
"Gulf war illness","19","8.88"
"contaminated drinking water at camp Lejelune","12","5.61"
"Gulf war illness in Afghanistan","8","3.74"
"Contact with mustard gas or lewisite","5","2.34"
"Children having birth defects like Spina Bifida","3","1.4"
"Project 112/SHAD","1","0.47"
