"q7","How does cannabis help your daily life? (Please select all that apply)","n =  641"
"response","count","percent_responded"
"Helps with psychological symptoms (e.g. anxiety, stress, calm, sadness, energy)","592","92.36"
"Generally helps with quality of life","544","84.87"
"Helps with physical symptoms (e.g. body pains, function, sensation)","459","71.61"
"Helps to avoid starting other medicines (including opiates)","266","41.5"
"Helps to reduce use of other prior medicines (non-opiates)","221","34.48"
"Helps to reduce use of alcohol","218","34.01"
"Helps to reduce use of opiates","121","18.88"
"Helps to reduce us of tobacco","106","16.54"
"Other (please specify)","36","5.62"
"Does not help my daily life","3","0.47"
