"q11","How do you prefer to use cannabis? Please select all that apply.","n =  151"
"response","count","percent_responded"
"Smoke flower","129","85.43"
"Vape cartridges","100","66.23"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","99","65.56"
"Vape flower","59","39.07"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","55","36.42"
"Tinctures","38","25.17"
"Salves/topicals","30","19.87"
"Capsules","13","8.61"
"Transdermal patches","7","4.64"
"Suppositories","4","2.65"
"Other (please specify)","3","1.99"
