"q19","What percent of your monthly cannabis purchases are through regulated sources (dispensaries, caregivers, etc.)","n =  224  avg =  77.964"
"response","count","percent_responded"
"100","137","61.16"
"0","23","10.27"
"90","7","3.12"
"1","4","1.79"
"95","4","1.79"
"97","4","1.79"
"98","4","1.79"
"80","3","1.34"
"99","3","1.34"
"10","2","0.89"
"2","2","0.89"
"20","2","0.89"
"27","2","0.89"
"45","2","0.89"
"5","2","0.89"
"50","2","0.89"
"54","2","0.89"
"75","2","0.89"
"13","1","0.45"
"16","1","0.45"
"19","1","0.45"
"25","1","0.45"
"39","1","0.45"
"40","1","0.45"
"49","1","0.45"
"55","1","0.45"
"56","1","0.45"
"57","1","0.45"
"60","1","0.45"
"7","1","0.45"
"70","1","0.45"
"84","1","0.45"
"85","1","0.45"
"88","1","0.45"
"94","1","0.45"
