"q79","Were you exposed to any of the following during your service? (Please select all that apply)","n =  296"
"response","count","percent_responded"
"I was not exposed to any of these","104","35.14"
"Asbestos","82","27.7"
"Agent Orange","63","21.28"
"Burn Pits","49","16.55"
"Specific Environmental Hazards","35","11.82"
"Gulf war illness","30","10.14"
"Other (please specify)","30","10.14"
"contaminated drinking water at camp Lejelune","24","8.11"
"Radiation Exposure","24","8.11"
"Gulf war illness in Afghanistan","4","1.35"
"Children having birth defects like Spina Bifida","3","1.01"
"Contact with mustard gas or lewisite","3","1.01"
