"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  78"
"response","count","percent_responded"
"Chronic pain","58","74.36"
"Anxiety","44","56.41"
"Posttraumatic stress disorder (PTSD)","42","53.85"
"Depression","40","51.28"
"Arthritis","31","39.74"
"Insomnia","25","32.05"
"Other (please specify)","11","14.1"
"Gastrointestinal/digestive system disorders","9","11.54"
"Fibromyalgia/myositis","8","10.26"
"Attention deficit/hyperactivity disorder (ADHD)","7","8.97"
"Hypertension","7","8.97"
"Cancer","6","7.69"
"Reflux esophagitis","5","6.41"
"Substance abuse/addiction","5","6.41"
"Bipolar/manic depression","4","5.13"
"Diabetes","3","3.85"
"Inflammatory bowel disease (IBD)","3","3.85"
"HIV/AIDS","2","2.56"
"Obesity","2","2.56"
"Respiratory problems","2","2.56"
"Allergies","1","1.28"
"Multiple sclerosis","1","1.28"
