"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  33"
"response","count","percent_responded"
"Anxiety","21","63.64"
"Chronic pain","17","51.52"
"Depression","16","48.48"
"Posttraumatic stress disorder (PTSD)","12","36.36"
"Insomnia","11","33.33"
"Arthritis","9","27.27"
"Hypertension","7","21.21"
"Gastrointestinal/digestive system disorders","6","18.18"
"Substance abuse/addiction","4","12.12"
"Allergies","3","9.09"
"Cancer","3","9.09"
"Inflammatory bowel disease (IBD)","3","9.09"
"Bipolar/manic depression","2","6.06"
"Reflux esophagitis","2","6.06"
"Diabetes","1","3.03"
"Eczema","1","3.03"
"Obesity","1","3.03"
"Other (please specify)","1","3.03"
"Respiratory problems","1","3.03"
