"q57","What product(s) and/or strain(s) do you want that are not currently available in your local dispensaries?","n =  419"
"response","count","percent_responded"
"N/A","29","6.92"
"None","28","6.68"
"none","21","5.01"
"n/a","12","2.86"
"?","9","2.15"
"N/a","8","1.91"
"Na","8","1.91"
"Not sure","8","1.91"
NA,"8","1.91"
"All","7","1.67"
"0","6","1.43"
"na","6","1.43"
"Unknown","5","1.19"
"Edibles","4","0.95"
"Edibles ","3","0.72"
"Flower","3","0.72"
"I don't know","3","0.72"
"None ","3","0.72"
"All of them","2","0.48"
"All of them ","2","0.48"
"don't know","2","0.48"
"Don't know","2","0.48"
"Don’t know","2","0.48"
"edibles","2","0.48"
"Idk","2","0.48"
"Jack Herer ","2","0.48"
"Na ","2","0.48"
"No answer","2","0.48"
"unknown","2","0.48"
"Unsure","2","0.48"
"?The one they DONT have!!","1","0.24"
"3:1 cbd tincture","1","0.24"
"A 10%/10% blend of THC/CBD tested by chemists and recommended by a real doctor.","1","0.24"
"AC/dc","1","0.24"
"AC/DC (only for medical patients, since I use VA only, I can’t get the high CBD products for medical patients, so I use 1:1, which is still too high in THC","1","0.24"
"affordable products","1","0.24"
"African Black ","1","0.24"
"all","1","0.24"
"ALL","1","0.24"
"All of them... I no longer can afford to buy any :/","1","0.24"
"all pax era pods","1","0.24"
"All Strains (flower not legal in NY)","1","0.24"
"All the ones recommended for PTSD","1","0.24"
"All.  The state of Florida is a for profit  state instead of patient care ","1","0.24"
"All.... I don't have a local dispensary","1","0.24"
"Alot","1","0.24"
"Anxiety, depression, headache and pain relief ","1","0.24"
"ANY","1","0.24"
"Any ","1","0.24"
"Any - Virginia can't get it's act together","1","0.24"
"Any high grade sativa","1","0.24"
"Anything from California","1","0.24"
"Avidekal","1","0.24"
"banana kush flower","1","0.24"
"BioChem","1","0.24"
"Blackberry Kush","1","0.24"
"Blue Cookies ","1","0.24"
"Blue dream","1","0.24"
"Blue Dream","1","0.24"
"blue kush","1","0.24"
"blue sunshine","1","0.24"
"Blueberry ","1","0.24"
"brownies","1","0.24"
"Bruce Banners Ghost","1","0.24"
"Bubble hash","1","0.24"
"Canadian beasters ","1","0.24"
"Candy Kush","1","0.24"
"Cannabutter","1","0.24"
"Capsules, and stronger edibles","1","0.24"
"Cartridges and edibles","1","0.24"
"Cataract Kush, Night Terror OG ","1","0.24"
"CBD candy","1","0.24"
"CBD strains","1","0.24"
"CBD/THC 1:1","1","0.24"
"CBD:THC of 4:1","1","0.24"
"Charlotte's Web, Rick Simpson Oil ","1","0.24"
"Chocolate candy bars ","1","0.24"
"CHRONIC","1","0.24"
"Clean organic cannabis","1","0.24"
"Combat cookies","1","0.24"
"Concentrates - CBD","1","0.24"
"Critical Kush","1","0.24"
"CT dispensaries and overall program needs reform.","1","0.24"
"Definitely fruitier flavors","1","0.24"
"Devil’s Cookies","1","0.24"
"diamonds","1","0.24"
"do not use dispensaries.","1","0.24"
"Don't use now","1","0.24"
"Don’t know ","1","0.24"
"dont have dispenseries","1","0.24"
"Dont know","1","0.24"
"Drinks","1","0.24"
"Dude, where's my bike?","1","0.24"
"durban poison","1","0.24"
"Durbon Poison; lemon marange,!Lemon haze","1","0.24"
"enough edibles","1","0.24"
"Everything.  No longer live near dispensaries.","1","0.24"
"Flavored vape cart","1","0.24"
"flower","1","0.24"
"Flower and edibles","1","0.24"
"Flower of any kind.","1","0.24"
"Garlic bud","1","0.24"
"Gelato, Katsu Kush.  More pure indica strains, less hybrids.","1","0.24"
"gg","1","0.24"
"Ghost train Haze ","1","0.24"
"Girl Scout cookie","1","0.24"
"Girl Scout Cookie, Blue Dream, Jack Kush","1","0.24"
"glass bangers and proper dab rigs. ","1","0.24"
"Good reliable edibles","1","0.24"
"got no local dispensery","1","0.24"
"Grape God","1","0.24"
"Greater mixes of CBG:THC ratios","1","0.24"
"Green Crack","1","0.24"
"Grow my own and edibles","1","0.24"
"gsc","1","0.24"
"Guava IX","1","0.24"
"Harleyquinn","1","0.24"
"Hash","1","0.24"
"Hash (70's style)","1","0.24"
"Hash oils","1","0.24"
"Hash, more edible choices","1","0.24"
"Hawaian Fresian Duck","1","0.24"
"Hawaiian ","1","0.24"
"Hawaiian or Sensamellian","1","0.24"
"Hemlock","1","0.24"
"Hemp derived products ","1","0.24"
"High cbd ","1","0.24"
"High energy strains","1","0.24"
"high terpene profiles","1","0.24"
"High THC strains over 30% and heavily colored strains like purples and reds","1","0.24"
"Higher CBD strains","1","0.24"
"Higher dose capsules","1","0.24"
"HTFSE","1","0.24"
"hybrid capsules","1","0.24"
