"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  217"
"response","count","percent_responded"
"Chronic pain","208","95.85"
"Anxiety","120","55.3"
"Arthritis","112","51.61"
"Depression","105","48.39"
"Posttraumatic stress disorder (PTSD)","91","41.94"
"Insomnia","63","29.03"
"Gastrointestinal/digestive system disorders","35","16.13"
"Other (please specify)","27","12.44"
"Fibromyalgia/myositis","25","11.52"
"Hypertension","25","11.52"
"Attention deficit/hyperactivity disorder (ADHD)","24","11.06"
"Diabetes","14","6.45"
"Respiratory problems","14","6.45"
"Inflammatory bowel disease (IBD)","13","5.99"
"Substance abuse/addiction","13","5.99"
"Bipolar/manic depression","12","5.53"
"Allergies","11","5.07"
"Reflux esophagitis","11","5.07"
"Cancer","8","3.69"
"Obesity","7","3.23"
"Cardiovascular disease","4","1.84"
"Epilepsy","3","1.38"
"Eczema","2","0.92"
"HIV/AIDS","2","0.92"
"Multiple sclerosis","2","0.92"
"Alzheimer's","1","0.46"
