"q12","What is your top preferred method (that is, favorite) of using cannabis? (Please select one)","n =  558"
"response","count","percent_responded"
"Smoke flower","215","38.53"
"Vape cartridges","79","14.16"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","78","13.98"
"Tinctures","69","12.37"
"Vape flower","54","9.68"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","19","3.41"
"Other (please specify)","15","2.69"
"Capsules","12","2.15"
"Salves/topicals","12","2.15"
"Suppositories","3","0.54"
"Transdermal patches","2","0.36"
