"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  144"
"response","count","percent_responded"
"Depression/mood","110","76.39"
"Anxiety/panic attacks","108","75"
"Sleep/insomnia","108","75"
"Aggression","63","43.75"
"Pain","44","30.56"
"Attention/concentration","39","27.08"
"Headache","39","27.08"
"Appetite/weight","33","22.92"
"Inflammation","19","13.19"
"Nausea/vomiting","19","13.19"
"Spasms","12","8.33"
"Mania/psychosis","9","6.25"
"Other (please specify)","7","4.86"
"Ocular pressure","5","3.47"
"Skin conditions","5","3.47"
"Seizures","3","2.08"
"Drug withdrawal","2","1.39"
"Respiratory","1","0.69"
